Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,Balanced_Accuracy,Youden_Index,TP,FP,TN,FN
0.01,1.0,0.0,0.5575221238938053,,0.5575221238938053,0.5,0.0,63,50,0,0
0.02,1.0,0.0,0.5575221238938053,,0.5575221238938053,0.5,0.0,63,50,0,0
0.03,1.0,0.0,0.5575221238938053,,0.5575221238938053,0.5,0.0,63,50,0,0
0.04,1.0,0.0,0.5575221238938053,,0.5575221238938053,0.5,0.0,63,50,0,0
0.05,1.0,0.0,0.5575221238938053,,0.5575221238938053,0.5,0.0,63,50,0,0
0.060000000000000005,1.0,0.0,0.5575221238938053,,0.5575221238938053,0.5,0.0,63,50,0,0
0.06999999999999999,1.0,0.0,0.5575221238938053,,0.5575221238938053,0.5,0.0,63,50,0,0
0.08,1.0,0.0,0.5575221238938053,,0.5575221238938053,0.5,0.0,63,50,0,0
0.09,1.0,0.0,0.5575221238938053,,0.5575221238938053,0.5,0.0,63,50,0,0
0.09999999999999999,1.0,0.0,0.5575221238938053,,0.5575221238938053,0.5,0.0,63,50,0,0
0.11,1.0,0.0,0.5575221238938053,,0.5575221238938053,0.5,0.0,63,50,0,0
0.12,1.0,0.06,0.5727272727272728,1.0,0.584070796460177,0.53,0.06000000000000005,63,47,3,0
0.13,1.0,0.06,0.5727272727272728,1.0,0.584070796460177,0.53,0.06000000000000005,63,47,3,0
0.14,1.0,0.08,0.5779816513761468,1.0,0.5929203539823009,0.54,0.08000000000000007,63,46,4,0
0.15000000000000002,1.0,0.12,0.5887850467289719,1.0,0.6106194690265486,0.56,0.1200000000000001,63,44,6,0
0.16,1.0,0.12,0.5887850467289719,1.0,0.6106194690265486,0.56,0.1200000000000001,63,44,6,0
0.17,1.0,0.12,0.5887850467289719,1.0,0.6106194690265486,0.56,0.1200000000000001,63,44,6,0
0.18000000000000002,0.9841269841269841,0.16,0.5961538461538461,0.8888888888888888,0.6194690265486725,0.572063492063492,0.1441269841269841,62,42,8,1
0.19,0.9841269841269841,0.18,0.6019417475728155,0.9,0.6283185840707964,0.5820634920634921,0.16412698412698412,62,41,9,1
0.2,0.9841269841269841,0.18,0.6019417475728155,0.9,0.6283185840707964,0.5820634920634921,0.16412698412698412,62,41,9,1
0.21000000000000002,0.9682539682539683,0.22,0.61,0.8461538461538461,0.6371681415929203,0.5941269841269842,0.18825396825396834,61,39,11,2
0.22,0.9682539682539683,0.22,0.61,0.8461538461538461,0.6371681415929203,0.5941269841269842,0.18825396825396834,61,39,11,2
0.23,0.9682539682539683,0.22,0.61,0.8461538461538461,0.6371681415929203,0.5941269841269842,0.18825396825396834,61,39,11,2
0.24000000000000002,0.9682539682539683,0.22,0.61,0.8461538461538461,0.6371681415929203,0.5941269841269842,0.18825396825396834,61,39,11,2
0.25,0.9682539682539683,0.22,0.61,0.8461538461538461,0.6371681415929203,0.5941269841269842,0.18825396825396834,61,39,11,2
0.26,0.9682539682539683,0.24,0.6161616161616161,0.8571428571428571,0.6460176991150443,0.6041269841269841,0.20825396825396814,61,38,12,2
0.27,0.9682539682539683,0.24,0.6161616161616161,0.8571428571428571,0.6460176991150443,0.6041269841269841,0.20825396825396814,61,38,12,2
0.28,0.9682539682539683,0.26,0.6224489795918368,0.8666666666666667,0.6548672566371682,0.6141269841269841,0.22825396825396815,61,37,13,2
0.29000000000000004,0.9523809523809523,0.28,0.625,0.8235294117647058,0.6548672566371682,0.6161904761904762,0.23238095238095235,60,36,14,3
0.3,0.9523809523809523,0.28,0.625,0.8235294117647058,0.6548672566371682,0.6161904761904762,0.23238095238095235,60,36,14,3
0.31,0.9365079365079365,0.32,0.6344086021505376,0.8,0.6637168141592921,0.6282539682539683,0.2565079365079366,59,34,16,4
0.32,0.9365079365079365,0.34,0.6413043478260869,0.8095238095238095,0.672566371681416,0.6382539682539683,0.2765079365079366,59,33,17,4
0.33,0.9365079365079365,0.38,0.6555555555555556,0.8260869565217391,0.6902654867256637,0.6582539682539683,0.3165079365079366,59,31,19,4
0.34,0.9365079365079365,0.38,0.6555555555555556,0.8260869565217391,0.6902654867256637,0.6582539682539683,0.3165079365079366,59,31,19,4
0.35000000000000003,0.9365079365079365,0.4,0.6629213483146067,0.8333333333333334,0.6991150442477876,0.6682539682539683,0.33650793650793664,59,30,20,4
0.36000000000000004,0.9365079365079365,0.42,0.6704545454545454,0.84,0.7079646017699115,0.6782539682539682,0.35650793650793644,59,29,21,4
0.37,0.9365079365079365,0.46,0.686046511627907,0.8518518518518519,0.7256637168141593,0.6982539682539682,0.3965079365079365,59,27,23,4
0.38,0.9365079365079365,0.52,0.7108433734939759,0.8666666666666667,0.7522123893805309,0.7282539682539683,0.45650793650793653,59,24,26,4
0.39,0.873015873015873,0.54,0.7051282051282052,0.7714285714285715,0.7256637168141593,0.7065079365079365,0.41301587301587306,55,23,27,8
0.4,0.8412698412698413,0.54,0.6973684210526315,0.7297297297297297,0.7079646017699115,0.6906349206349207,0.3812698412698414,53,23,27,10
0.41000000000000003,0.8253968253968254,0.54,0.6933333333333334,0.7105263157894737,0.6991150442477876,0.6826984126984127,0.3653968253968254,52,23,27,11
0.42000000000000004,0.8095238095238095,0.56,0.6986301369863014,0.7,0.6991150442477876,0.6847619047619048,0.3695238095238096,51,22,28,12
0.43,0.7936507936507936,0.56,0.6944444444444444,0.6829268292682927,0.6902654867256637,0.6768253968253968,0.35365079365079355,50,22,28,13
0.44,0.7936507936507936,0.58,0.704225352112676,0.6904761904761905,0.6991150442477876,0.6868253968253968,0.37365079365079357,50,21,29,13
0.45,0.7777777777777778,0.58,0.7,0.6744186046511628,0.6902654867256637,0.6788888888888889,0.35777777777777775,49,21,29,14
0.46,0.7777777777777778,0.62,0.7205882352941176,0.6888888888888889,0.7079646017699115,0.6988888888888889,0.3977777777777778,49,19,31,14
0.47000000000000003,0.746031746031746,0.64,0.7230769230769231,0.6666666666666666,0.6991150442477876,0.6930158730158731,0.38603174603174617,47,18,32,16
0.48000000000000004,0.746031746031746,0.64,0.7230769230769231,0.6666666666666666,0.6991150442477876,0.6930158730158731,0.38603174603174617,47,18,32,16
0.49,0.746031746031746,0.68,0.746031746031746,0.68,0.7168141592920354,0.7130158730158731,0.4260317460317462,47,16,34,16
0.5,0.746031746031746,0.68,0.746031746031746,0.68,0.7168141592920354,0.7130158730158731,0.4260317460317462,47,16,34,16
0.51,0.7301587301587301,0.68,0.7419354838709677,0.6666666666666666,0.7079646017699115,0.7050793650793651,0.41015873015873017,46,16,34,17
0.52,0.7301587301587301,0.68,0.7419354838709677,0.6666666666666666,0.7079646017699115,0.7050793650793651,0.41015873015873017,46,16,34,17
0.53,0.7301587301587301,0.68,0.7419354838709677,0.6666666666666666,0.7079646017699115,0.7050793650793651,0.41015873015873017,46,16,34,17
0.54,0.7301587301587301,0.7,0.7540983606557377,0.6730769230769231,0.7168141592920354,0.715079365079365,0.43015873015872996,46,15,35,17
0.55,0.7142857142857143,0.72,0.7627118644067796,0.6666666666666666,0.7168141592920354,0.7171428571428571,0.43428571428571416,45,14,36,18
0.56,0.6984126984126984,0.76,0.7857142857142857,0.6666666666666666,0.7256637168141593,0.7292063492063492,0.4584126984126984,44,12,38,19
0.5700000000000001,0.6666666666666666,0.76,0.7777777777777778,0.6440677966101694,0.7079646017699115,0.7133333333333334,0.42666666666666675,42,12,38,21
0.5800000000000001,0.6666666666666666,0.78,0.7924528301886793,0.65,0.7168141592920354,0.7233333333333334,0.44666666666666677,42,11,39,21
0.59,0.6507936507936508,0.8,0.803921568627451,0.6451612903225806,0.7168141592920354,0.7253968253968255,0.45079365079365097,41,10,40,22
0.6,0.6190476190476191,0.8,0.7959183673469388,0.625,0.6991150442477876,0.7095238095238096,0.4190476190476191,39,10,40,24
0.61,0.6031746031746031,0.8,0.7916666666666666,0.6153846153846154,0.6902654867256637,0.7015873015873015,0.4031746031746031,38,10,40,25
0.62,0.5873015873015873,0.84,0.8222222222222222,0.6176470588235294,0.6991150442477876,0.7136507936507936,0.4273015873015873,37,8,42,26
0.63,0.5714285714285714,0.86,0.8372093023255814,0.6142857142857143,0.6991150442477876,0.7157142857142857,0.4314285714285715,36,7,43,27
0.64,0.5396825396825397,0.88,0.85,0.6027397260273972,0.6902654867256637,0.7098412698412698,0.41968253968253966,34,6,44,29
0.65,0.5396825396825397,0.9,0.8717948717948718,0.6081081081081081,0.6991150442477876,0.7198412698412698,0.4396825396825397,34,5,45,29
0.66,0.5079365079365079,0.9,0.8648648648648649,0.5921052631578947,0.6814159292035398,0.7039682539682539,0.4079365079365078,32,5,45,31
0.67,0.5079365079365079,0.9,0.8648648648648649,0.5921052631578947,0.6814159292035398,0.7039682539682539,0.4079365079365078,32,5,45,31
