Model,Fold,ROC_AUC
LogisticRegression,1,0.7986111111111112
SVM_RBF,1,0.8125000000000001
SVM_Linear,1,0.8125
RandomForest,1,0.8194444444444444
GradientBoosting,1,0.8472222222222222
ExtraTrees,1,0.826388888888889
KNN,1,0.7951388888888888
NaiveBayes,1,0.7013888888888888
XGBoost,1,0.7430555555555556
LightGBM,1,0.8333333333333334
LogisticRegression,2,0.7
SVM_RBF,2,0.7357142857142858
SVM_Linear,2,0.7428571428571429
RandomForest,2,0.6857142857142857
GradientBoosting,2,0.7
ExtraTrees,2,0.6214285714285714
KNN,2,0.6571428571428571
NaiveBayes,2,0.7714285714285714
XGBoost,2,0.6000000000000001
LightGBM,2,0.6428571428571428
LogisticRegression,3,0.9305555555555556
SVM_RBF,3,0.9305555555555556
SVM_Linear,3,0.9305555555555556
RandomForest,3,0.8472222222222222
GradientBoosting,3,0.8194444444444444
ExtraTrees,3,0.8472222222222222
KNN,3,0.923611111111111
NaiveBayes,3,0.9722222222222222
XGBoost,3,0.875
LightGBM,3,0.8194444444444444
LogisticRegression,4,0.7944444444444444
SVM_RBF,4,0.7277777777777777
SVM_Linear,4,0.7333333333333333
RandomForest,4,0.6388888888888888
GradientBoosting,4,0.6555555555555557
ExtraTrees,4,0.6944444444444444
KNN,4,0.7472222222222222
NaiveBayes,4,0.65
XGBoost,4,0.6333333333333333
LightGBM,4,0.7277777777777779
LogisticRegression,5,0.761904761904762
SVM_RBF,5,0.773809523809524
SVM_Linear,5,0.761904761904762
RandomForest,5,0.7023809523809524
GradientBoosting,5,0.6428571428571428
ExtraTrees,5,0.7142857142857143
KNN,5,0.7857142857142857
NaiveBayes,5,0.5238095238095238
XGBoost,5,0.4761904761904761
LightGBM,5,0.7976190476190477
