,LogisticRegression,SVM_Linear,NaiveBayes,SVM_RBF,KNN,ExtraTrees,RandomForest,GradientBoosting,LightGBM,XGBoost
LogisticRegression,1.0,0.019921182455400085,0.23831506885007747,0.024193581295612856,0.5356279153379476,0.016564971516246557,0.24504724854909266,0.03440220016441966,0.04928409833588815,0.009623710340362373
SVM_Linear,0.019921182455400085,1.0,0.9210688817344319,0.8648233267603892,0.6079164921731672,0.27124643948973703,0.9802326484589148,0.36643811035995877,0.31499930113771657,0.0919728164129786
NaiveBayes,0.23831506885007747,0.9210688817344319,1.0,0.8550629469899926,0.5708827970101564,0.49298607319403875,0.9499594923128021,0.6122609211021756,0.38192704883912176,0.15450149718619338
SVM_RBF,0.024193581295612856,0.8648233267603892,0.8550629469899926,1.0,0.6442276886811156,0.17240107863594833,0.9095385773723739,0.34814622596635203,0.24561136465741418,0.08046981165366986
KNN,0.5356279153379476,0.6079164921731672,0.5708827970101564,0.6442276886811156,1.0,0.14479790333793413,0.6039438261913832,0.26152937480534255,0.1506832286420276,0.024732511296869465
ExtraTrees,0.016564971516246557,0.27124643948973703,0.49298607319403875,0.17240107863594833,0.14479790333793413,1.0,0.37489533895835814,0.8612855961301173,0.7506098290757711,0.28769931007989136
RandomForest,0.24504724854909266,0.9802326484589148,0.9499594923128021,0.9095385773723739,0.6039438261913832,0.37489533895835814,1.0,0.39702125352173623,0.2161703259690867,0.032464310599814146
GradientBoosting,0.03440220016441966,0.36643811035995877,0.6122609211021756,0.34814622596635203,0.26152937480534255,0.8612855961301173,0.39702125352173623,1.0,0.5728783587838888,0.16956800252317905
LightGBM,0.04928409833588815,0.31499930113771657,0.38192704883912176,0.24561136465741418,0.1506832286420276,0.7506098290757711,0.2161703259690867,0.5728783587838888,1.0,0.35564449291951716
XGBoost,0.009623710340362373,0.0919728164129786,0.15450149718619338,0.08046981165366986,0.024732511296869465,0.28769931007989136,0.032464310599814146,0.16956800252317905,0.35564449291951716,1.0
