fold,n_estimators,max_depth,learning_rate,subsample
1,75,1,0.026577711982616582,0.9534328396959711
2,25,2,0.01087617173758401,0.9671234690326227
3,100,1,0.06549750379683224,0.7822221241125097
4,25,1,0.016584313263890035,0.9935871354122109
5,100,1,0.06549750379683224,0.7822221241125097
