,GradientBoosting,RandomForest,NaiveBayes,KNN,LightGBM,ExtraTrees,XGBoost,SVM_Linear,LogisticRegression,SVM_RBF
GradientBoosting,0.0,2.1801390931354496,1.2133029770856565,2.136858864891658,1.7330284031444685,3.0167752650474924,1.6504437070614286,3.5797872501128274,2.51485004008382,4.016668752328773
RandomForest,-2.1801390931354496,0.0,0.02081248940413935,0.7795561258038194,0.10554100234859266,1.9813694374776367,-0.20738536918418576,2.404958119241351,1.1934627071304647,3.0278764435036436
NaiveBayes,-1.2133029770856565,-0.02081248940413935,0.0,0.7051782820235569,0.04178261571529722,1.2592007760769222,-0.1256444418092176,2.238678301396398,1.0906517773179256,2.8863941300479383
KNN,-2.136858864891658,-0.7795561258038194,-0.7051782820235569,0.0,-0.6114197651157495,0.6143614278451517,-0.8035390380267794,1.3880999332509565,0.28206838388680466,2.218784556222818
LightGBM,-1.7330284031444685,-0.10554100234859266,-0.04178261571529722,0.6114197651157495,0.0,1.401224477707177,-0.23417823862096282,2.1054216610568837,1.011307138570561,2.8361967535846326
ExtraTrees,-3.0167752650474924,-1.9813694374776367,-1.2592007760769222,-0.6143614278451517,-1.401224477707177,0.0,-1.6548829997275383,0.9981183322905042,-0.4538045914161823,2.0390573465984203
XGBoost,-1.6504437070614286,0.20738536918418576,0.1256444418092176,0.8035390380267794,0.23417823862096282,1.6548829997275383,0.0,2.116500097297662,1.091969402120802,2.7599483898481103
SVM_Linear,-3.5797872501128274,-2.404958119241351,-2.238678301396398,-1.3880999332509565,-2.1054216610568837,-0.9981183322905042,-2.116500097297662,0.0,-2.5169520787631097,1.3756896861869499
LogisticRegression,-2.51485004008382,-1.1934627071304647,-1.0906517773179256,-0.28206838388680466,-1.011307138570561,0.4538045914161823,-1.091969402120802,2.5169520787631097,0.0,2.6292229407468777
SVM_RBF,-4.016668752328773,-3.0278764435036436,-2.8863941300479383,-2.218784556222818,-2.8361967535846326,-2.0390573465984203,-2.7599483898481103,-1.3756896861869499,-2.6292229407468777,0.0
