Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
GradientBoosting,0.718 ± 0.105,0.732 ± 0.191,0.653 ± 0.143,0.677 ± 0.089,0.661 ± 0.182,0.805 ± 0.194,0.698 ± 0.136,0.549 ± 0.191,8.000 ± 0.000
RandomForest,0.670 ± 0.162,0.698 ± 0.211,0.605 ± 0.143,0.615 ± 0.100,0.617 ± 0.166,0.694 ± 0.271,0.622 ± 0.183,0.536 ± 0.153,8.000 ± 0.000
NaiveBayes,0.659 ± 0.125,0.712 ± 0.161,0.603 ± 0.153,0.576 ± 0.137,0.590 ± 0.209,0.771 ± 0.197,0.658 ± 0.196,0.382 ± 0.244,8.000 ± 0.000
KNN,0.656 ± 0.123,0.673 ± 0.076,0.545 ± 0.103,0.569 ± 0.043,0.581 ± 0.147,0.722 ± 0.183,0.615 ± 0.089,0.416 ± 0.175,8.000 ± 0.000
LightGBM,0.655 ± 0.153,0.682 ± 0.183,0.635 ± 0.116,0.658 ± 0.099,0.675 ± 0.181,0.644 ± 0.222,0.629 ± 0.158,0.673 ± 0.137,8.000 ± 0.000
ExtraTrees,0.654 ± 0.113,0.683 ± 0.160,0.581 ± 0.115,0.596 ± 0.081,0.613 ± 0.169,0.627 ± 0.167,0.598 ± 0.139,0.564 ± 0.138,8.000 ± 0.000
XGBoost,0.648 ± 0.157,0.695 ± 0.223,0.652 ± 0.146,0.673 ± 0.113,0.660 ± 0.159,0.775 ± 0.283,0.676 ± 0.178,0.571 ± 0.182,8.000 ± 0.000
SVM_Linear,0.583 ± 0.159,0.644 ± 0.209,0.506 ± 0.092,0.525 ± 0.082,0.545 ± 0.155,0.613 ± 0.245,0.543 ± 0.137,0.438 ± 0.183,8.000 ± 0.000
LogisticRegression,0.581 ± 0.147,0.648 ± 0.203,0.588 ± 0.129,0.606 ± 0.109,0.620 ± 0.161,0.592 ± 0.235,0.578 ± 0.174,0.620 ± 0.119,8.000 ± 0.000
SVM_RBF,0.505 ± 0.227,0.599 ± 0.144,0.509 ± 0.106,0.517 ± 0.101,0.533 ± 0.146,0.648 ± 0.269,0.556 ± 0.149,0.387 ± 0.240,8.000 ± 0.000
