Model_A,Model_B,AUC_A,AUC_B,ΔAUC,Z_stat,p_value,Significant (α=0.05),Significant (α=0.01),p_value_bonferroni,Significant Bonf. (α=0.05)
GradientBoosting,SVM_RBF,0.7059171597633136,0.5035502958579883,0.20236686390532532,4.016668752328773,5.9026600582057536e-05,✓,✓,0.0026561970261925892,✓
GradientBoosting,SVM_Linear,0.7059171597633136,0.5494082840236687,0.1565088757396449,3.5797872501128274,0.0003438740598026059,✓,✓,0.015474332691117264,✓
RandomForest,SVM_RBF,0.6458579881656805,0.5035502958579883,0.14230769230769225,3.0278764435036436,0.0024627875979623196,✓,✓,0.11082544190830437,✗
GradientBoosting,ExtraTrees,0.7059171597633136,0.5852071005917161,0.1207100591715975,3.0167752650474924,0.0025547914255158615,✓,✓,0.11496561414821377,✗
NaiveBayes,SVM_RBF,0.6448224852071007,0.5035502958579883,0.14127218934911245,2.8863941300479383,0.0038968382644608657,✓,✓,0.17535772190073895,✗
LightGBM,SVM_RBF,0.6423076923076922,0.5035502958579883,0.13875739644970397,2.8361967535846326,0.004565431088527451,✓,✓,0.2054443989837353,✗
XGBoost,SVM_RBF,0.6520710059171597,0.5035502958579883,0.14852071005917145,2.7599483898481103,0.005781049351200544,✓,✓,0.26014722080402447,✗
LogisticRegression,SVM_RBF,0.5994082840236687,0.5035502958579883,0.09585798816568047,2.6292229407468777,0.008558023565299345,✓,✓,0.38511106043847054,✗
SVM_Linear,LogisticRegression,0.5494082840236687,0.5994082840236687,-0.050000000000000044,-2.5169520787631097,0.011837492835212675,✓,✗,0.5326871775845704,✗
GradientBoosting,LogisticRegression,0.7059171597633136,0.5994082840236687,0.10650887573964485,2.51485004008382,0.011908302359157557,✓,✗,0.53587360616209,✗
RandomForest,SVM_Linear,0.6458579881656805,0.5494082840236687,0.09644970414201182,2.404958119241351,0.016174319279136685,✓,✗,0.7278443675611509,✗
NaiveBayes,SVM_Linear,0.6448224852071007,0.5494082840236687,0.09541420118343202,2.238678301396398,0.025176855365752437,✓,✗,1.0,✗
KNN,SVM_RBF,0.61198224852071,0.5035502958579883,0.10843195266272176,2.218784556222818,0.02650138518574805,✓,✗,1.0,✗
GradientBoosting,RandomForest,0.7059171597633136,0.6458579881656805,0.060059171597633076,2.1801390931354496,0.029247152722237546,✓,✗,1.0,✗
GradientBoosting,KNN,0.7059171597633136,0.61198224852071,0.09393491124260356,2.136858864891658,0.032609472609759334,✓,✗,1.0,✗
XGBoost,SVM_Linear,0.6520710059171597,0.5494082840236687,0.10266272189349102,2.116500097297662,0.03430229693888831,✓,✗,1.0,✗
LightGBM,SVM_Linear,0.6423076923076922,0.5494082840236687,0.09289940828402354,2.1054216610568837,0.03525461989937169,✓,✗,1.0,✗
ExtraTrees,SVM_RBF,0.5852071005917161,0.5035502958579883,0.08165680473372783,2.0390573465984203,0.041444304494660696,✓,✗,1.0,✗
RandomForest,ExtraTrees,0.6458579881656805,0.5852071005917161,0.06065088757396442,1.9813694374776367,0.04754985856216863,✓,✗,1.0,✗
GradientBoosting,LightGBM,0.7059171597633136,0.6423076923076922,0.06360946745562135,1.7330284031444685,0.08309062055430036,✗,✗,1.0,✗
ExtraTrees,XGBoost,0.5852071005917161,0.6520710059171597,-0.06686390532544362,-1.6548829997275383,0.09794823334627771,✗,✗,1.0,✗
GradientBoosting,XGBoost,0.7059171597633136,0.6520710059171597,0.05384615384615388,1.6504437070614286,0.09885221794411878,✗,✗,1.0,✗
LightGBM,ExtraTrees,0.6423076923076922,0.5852071005917161,0.057100591715976146,1.401224477707177,0.16114695678240643,✗,✗,1.0,✗
KNN,SVM_Linear,0.61198224852071,0.5494082840236687,0.06257396449704133,1.3880999332509565,0.16510661691476103,✗,✗,1.0,✗
SVM_Linear,SVM_RBF,0.5494082840236687,0.5035502958579883,0.04585798816568043,1.3756896861869499,0.16891772643554037,✗,✗,1.0,✗
NaiveBayes,ExtraTrees,0.6448224852071007,0.5852071005917161,0.059615384615384626,1.2592007760769222,0.20795782132723384,✗,✗,1.0,✗
GradientBoosting,NaiveBayes,0.7059171597633136,0.6448224852071007,0.06109467455621287,1.2133029770856565,0.2250140051111631,✗,✗,1.0,✗
RandomForest,LogisticRegression,0.6458579881656805,0.5994082840236687,0.04644970414201177,1.1934627071304647,0.23268820909849874,✗,✗,1.0,✗
XGBoost,LogisticRegression,0.6520710059171597,0.5994082840236687,0.05266272189349097,1.091969402120802,0.2748465504391808,✗,✗,1.0,✗
NaiveBayes,LogisticRegression,0.6448224852071007,0.5994082840236687,0.04541420118343198,1.0906517773179256,0.27542613713871666,✗,✗,1.0,✗
LightGBM,LogisticRegression,0.6423076923076922,0.5994082840236687,0.0428994082840235,1.011307138570561,0.31186945047258297,✗,✗,1.0,✗
ExtraTrees,SVM_Linear,0.5852071005917161,0.5494082840236687,0.0357988165680474,0.9981183322905042,0.31822198159965076,✗,✗,1.0,✗
KNN,XGBoost,0.61198224852071,0.6520710059171597,-0.04008875739644968,-0.8035390380267794,0.42166324251874576,✗,✗,1.0,✗
RandomForest,KNN,0.6458579881656805,0.61198224852071,0.03387573964497048,0.7795561258038194,0.4356521892136528,✗,✗,1.0,✗
NaiveBayes,KNN,0.6448224852071007,0.61198224852071,0.03284023668639069,0.7051782820235569,0.4806992950002352,✗,✗,1.0,✗
KNN,ExtraTrees,0.61198224852071,0.5852071005917161,0.026775147928993936,0.6143614278451517,0.5389765186771833,✗,✗,1.0,✗
KNN,LightGBM,0.61198224852071,0.6423076923076922,-0.03032544378698221,-0.6114197651157495,0.5409217209273234,✗,✗,1.0,✗
