,GradientBoosting,RandomForest,NaiveBayes,KNN,LightGBM,ExtraTrees,XGBoost,SVM_Linear,LogisticRegression,SVM_RBF
GradientBoosting,1.0,0.029247152722237546,0.2250140051111631,0.032609472609759334,0.08309062055430036,0.0025547914255158615,0.09885221794411878,0.0003438740598026059,0.011908302359157557,5.9026600582057536e-05
RandomForest,0.029247152722237546,1.0,0.9833952347937784,0.4356521892136528,0.9159465364778452,0.04754985856216863,0.8357089079287803,0.016174319279136685,0.23268820909849874,0.0024627875979623196
NaiveBayes,0.2250140051111631,0.9833952347937784,1.0,0.4806992950002352,0.9666719935594289,0.20795782132723384,0.9000133822134554,0.025176855365752437,0.27542613713871666,0.0038968382644608657
KNN,0.032609472609759334,0.4356521892136528,0.4806992950002352,1.0,0.5409217209273234,0.5389765186771833,0.42166324251874576,0.16510661691476103,0.7778910753053119,0.02650138518574805
LightGBM,0.08309062055430036,0.9159465364778452,0.9666719935594289,0.5409217209273234,1.0,0.16114695678240643,0.8148466084208379,0.03525461989937169,0.31186945047258297,0.004565431088527451
ExtraTrees,0.0025547914255158615,0.04754985856216863,0.20795782132723384,0.5389765186771833,0.16114695678240643,1.0,0.09794823334627771,0.31822198159965076,0.6499694786414104,0.041444304494660696
XGBoost,0.09885221794411878,0.8357089079287803,0.9000133822134554,0.42166324251874576,0.8148466084208379,0.09794823334627771,1.0,0.03430229693888831,0.2748465504391808,0.005781049351200544
SVM_Linear,0.0003438740598026059,0.016174319279136685,0.025176855365752437,0.16510661691476103,0.03525461989937169,0.31822198159965076,0.03430229693888831,1.0,0.011837492835212675,0.16891772643554037
LogisticRegression,0.011908302359157557,0.23268820909849874,0.27542613713871666,0.7778910753053119,0.31186945047258297,0.6499694786414104,0.2748465504391808,0.011837492835212675,1.0,0.008558023565299345
SVM_RBF,5.9026600582057536e-05,0.0024627875979623196,0.0038968382644608657,0.02650138518574805,0.004565431088527451,0.041444304494660696,0.005781049351200544,0.16891772643554037,0.008558023565299345,1.0
