Competitor,Competitor_Mean_AUC,ΔMean_AUC,p_value,p_Bonferroni,Significant_uncorrected,Significant_Bonferroni
SVM_RBF,0.5050,+0.2131,5.90e-05,2.66e-03,✓,✓
LogisticRegression,0.5808,+0.1373,1.19e-02,5.36e-01,✓,✗
SVM_Linear,0.5828,+0.1353,3.44e-04,1.55e-02,✓,✓
XGBoost,0.6478,+0.0704,9.89e-02,1.00e+00,✗,✗
ExtraTrees,0.6543,+0.0639,2.55e-03,1.15e-01,✓,✗
LightGBM,0.6552,+0.0630,8.31e-02,1.00e+00,✗,✗
KNN,0.6559,+0.0622,3.26e-02,1.00e+00,✓,✗
NaiveBayes,0.6593,+0.0588,2.25e-01,1.00e+00,✗,✗
RandomForest,0.6703,+0.0479,2.92e-02,1.00e+00,✓,✗
