Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features
RandomForest,0.5585311447811447,0.06401570161162869,0.5535502958579881,0.6212284734226158,0.128319680492078,0.5876213825219102,0.5472658762981344,0.0750794455436469,0.5641025641025641,0.5788636363636364,0.06782168968084006,0.5634615384615385,0.6026173826173826,0.14118098147014252,0.6166666666666667,0.619949494949495,0.20823727506931372,0.5692307692307692,0.5733225188481028,0.08190538067578204,0.592,0.5377777777777777,0.1949485528841005,0.5576923076923077,16.0
SVM_RBF,0.5570005611672278,0.1273969467605419,0.5523668639053254,0.6431701777668873,0.09698247661455324,0.6409661359016952,0.5451061483319548,0.03991651727350621,0.5384615384615384,0.5555303030303029,0.08381177318951616,0.5192307692307692,0.5689004096262161,0.08425381180420598,0.569620253164557,0.719949494949495,0.2468508937362675,0.6923076923076923,0.6025477894376519,0.08219268640702491,0.625,0.3911111111111111,0.2166410241236256,0.34615384615384615,16.0
SVM_Linear,0.552243265993266,0.05582759065513292,0.5408284023668639,0.5989631404324396,0.13426421159782545,0.5644157190683086,0.5589651686425879,0.04079986073577413,0.5555555555555556,0.5782449494949494,0.07590223562262846,0.5538461538461539,0.5930555555555556,0.09355793082231503,0.6065573770491803,0.6142676767676768,0.23162224064407885,0.5692307692307692,0.5689102564102564,0.10247391868431399,0.5873015873015873,0.5422222222222223,0.13079056861833033,0.5384615384615384,16.0
ExtraTrees,0.5487051066217733,0.10852514869626606,0.5834319526627219,0.5987853571933137,0.1413818685864842,0.6083370295363953,0.5431219557026009,0.07171059034618109,0.5555555555555556,0.5764267676767677,0.07996763068231529,0.551923076923077,0.6018939393939394,0.1503000519010863,0.6031746031746031,0.6395202020202021,0.1883371188039022,0.5846153846153846,0.5827631578947369,0.054523312703771865,0.59375,0.5133333333333333,0.21503947383827457,0.5192307692307693,16.0
GradientBoosting,0.5479082491582492,0.0644974515183859,0.5615384615384615,0.5927855817668721,0.15026142866294775,0.6123073205272136,0.5230107526881721,0.08992240554754821,0.5384615384615384,0.5387247474747474,0.08330746078317713,0.5365384615384616,0.5584126984126985,0.1608192680826726,0.5901639344262295,0.5685606060606061,0.1336235649749727,0.5538461538461539,0.5444289044289045,0.11346687258416824,0.5714285714285714,0.508888888888889,0.11683057269417703,0.5192307692307693,16.0
LogisticRegression,0.547584175084175,0.06259269447198218,0.5461538461538461,0.6001222683077237,0.13436984645674538,0.572542486272579,0.5307885304659499,0.035061781836395,0.5299145299145299,0.5451136363636364,0.08163936376370955,0.5230769230769231,0.5744444444444444,0.10219277957630304,0.5757575757575758,0.632449494949495,0.20628021076815792,0.5846153846153846,0.5679621848739496,0.05690485842372086,0.5801526717557252,0.45777777777777773,0.19504985117770393,0.46153846153846156,16.0
XGBoost,0.5377370931537597,0.11325343682166332,0.5270710059171597,0.6164717857260518,0.15123365402509517,0.5824289386502813,0.5188769414575866,0.08710407368954542,0.5384615384615384,0.5394823232323233,0.05266773603777711,0.5346153846153846,0.5669444444444445,0.14088126512846744,0.5873015873015873,0.5922979797979797,0.12315778504148599,0.5692307692307692,0.5548809523809524,0.09158035516008423,0.578125,0.4866666666666667,0.1359738536958076,0.5,16.0
NaiveBayes,0.525026655443322,0.13428362035593822,0.5008875739644971,0.5665306351495084,0.14883613028083684,0.5506997779108659,0.504722911497105,0.09509920441580574,0.5213675213675214,0.5179545454545454,0.07041472753400667,0.49423076923076925,0.539607843137255,0.1414235310972682,0.5517241379310345,0.7603535353535353,0.1820186885440279,0.7384615384615385,0.6044155844155844,0.10139648220389368,0.631578947368421,0.27555555555555555,0.19147252647589347,0.25,16.0
LightGBM,0.5196829405162738,0.024278655455578713,0.47928994082840237,0.5884395898796939,0.1423365402268173,0.5614678633789423,0.4895221027479092,0.033204606419086916,0.48717948717948717,0.5042171717171716,0.08606391075838371,0.4673076923076923,0.5229083461341525,0.07890597833746632,0.5316455696202531,0.6795454545454545,0.2849894879894043,0.6461538461538462,0.5511912211693188,0.10772600167698056,0.5833333333333334,0.3288888888888889,0.22460940032876936,0.28846153846153844,16.0
KNN,0.5041849046015713,0.051073834085024854,0.4607988165680474,0.5682804672988231,0.1111650624276368,0.5326659394254464,0.5162227736421284,0.07210680435048933,0.5042735042735043,0.5138510101010101,0.09119486858211158,0.49423076923076925,0.547829131652661,0.13473716925617285,0.5507246376811594,0.6077020202020202,0.12333706634875334,0.5846153846153846,0.5595782145782147,0.08451368264144608,0.5671641791044776,0.42000000000000004,0.19479650667387668,0.40384615384615385,16.0
