,RandomForest,SVM_RBF,SVM_Linear,ExtraTrees,GradientBoosting,LogisticRegression,XGBoost,NaiveBayes,LightGBM,KNN
RandomForest,0.0,0.024166540494633203,0.32776161434162443,-0.9422067039205644,-0.21893168319664136,0.19068541401503447,0.5870006067184189,1.0255832989701639,1.563717854777015,1.7675654194377755
SVM_RBF,-0.024166540494633203,0.0,0.28153573450167074,-0.588996322098818,-0.16898455358281267,0.14435305593810654,0.4697717426800546,0.9448671057781122,1.499557076479836,1.650200674805271
SVM_Linear,-0.32776161434162443,-0.28153573450167074,0.0,-0.9183186533425933,-0.413151194343285,-0.4053043533039528,0.25848898649262164,0.8206611112487823,1.187767041060109,1.4620965488346718
ExtraTrees,0.9422067039205644,0.588996322098818,0.9183186533425933,0.0,0.46158379362290775,0.8226622869252864,1.0432477630729315,1.5861721601147387,1.7998574798693914,2.576588632964171
GradientBoosting,0.21893168319664136,0.16898455358281267,0.413151194343285,-0.46158379362290775,0.0,0.30730026933091914,0.7884695067803414,1.0703672183454578,1.5323083222205693,1.7977716735278944
LogisticRegression,-0.19068541401503447,-0.14435305593810654,0.4053043533039528,-0.8226622869252864,-0.30730026933091914,0.0,0.35469041393209194,0.8847532938186359,1.2368710916943895,1.5309716854527498
XGBoost,-0.5870006067184189,-0.4697717426800546,-0.25848898649262164,-1.0432477630729315,-0.7884695067803414,-0.35469041393209194,0.0,0.427441972799683,1.2038229100194962,1.1112570749450685
NaiveBayes,-1.0255832989701639,-0.9448671057781122,-0.8206611112487823,-1.5861721601147387,-1.0703672183454578,-0.8847532938186359,-0.427441972799683,0.0,0.337130779816742,0.7514522099574834
LightGBM,-1.563717854777015,-1.499557076479836,-1.187767041060109,-1.7998574798693914,-1.5323083222205693,-1.2368710916943895,-1.2038229100194962,-0.337130779816742,0.0,0.3061525727409991
KNN,-1.7675654194377755,-1.650200674805271,-1.4620965488346718,-2.576588632964171,-1.7977716735278944,-1.5309716854527498,-1.1112570749450685,-0.7514522099574834,-0.3061525727409991,0.0
