,SVM_RBF,LogisticRegression,SVM_Linear,NaiveBayes,KNN,GradientBoosting,ExtraTrees,RandomForest,XGBoost,LightGBM
SVM_RBF,1.0,0.8124941914464153,0.4061848812801223,0.019978704670399604,0.020938086622162365,0.1751433620165137,0.0843136377062663,0.04564659435489283,0.0132746584111436,0.007263130341945449
LogisticRegression,0.8124941914464153,1.0,0.6245011770154367,0.026678619276018497,0.04768003170377678,0.2001686668504199,0.15514093245359173,0.06605699632122826,0.021043527237063146,0.010553918833163483
SVM_Linear,0.4061848812801223,0.6245011770154367,1.0,0.03726161023194419,0.0669957900902372,0.3105896791200369,0.2116251542036901,0.10867195878332533,0.03628816908772365,0.014777549951944777
NaiveBayes,0.019978704670399604,0.026678619276018497,0.03726161023194419,1.0,0.6676011237427022,0.40760570063702284,0.4825837639927424,0.7177170716352512,0.7781125125776738,0.6233809797132566
KNN,0.020938086622162365,0.04768003170377678,0.0669957900902372,0.6676011237427022,1.0,0.5675555691853256,0.6323486032651875,1.0,0.46399550784265375,0.31807373209171874
GradientBoosting,0.1751433620165137,0.2001686668504199,0.3105896791200369,0.40760570063702284,0.5675555691853256,1.0,0.8658684230058356,0.329138266464884,0.11448692642367289,0.08722143454698904
ExtraTrees,0.0843136377062663,0.15514093245359173,0.2116251542036901,0.4825837639927424,0.6323486032651875,0.8658684230058356,1.0,0.6278825929100963,0.17241863364849153,0.1320074476101672
RandomForest,0.04564659435489283,0.06605699632122826,0.10867195878332533,0.7177170716352512,1.0,0.329138266464884,0.6278825929100963,1.0,0.2948319761050354,0.23258022594882122
XGBoost,0.0132746584111436,0.021043527237063146,0.03628816908772365,0.7781125125776738,0.46399550784265375,0.11448692642367289,0.17241863364849153,0.2948319761050354,1.0,0.736615294389645
LightGBM,0.007263130341945449,0.010553918833163483,0.014777549951944777,0.6233809797132566,0.31807373209171874,0.08722143454698904,0.1320074476101672,0.23258022594882122,0.736615294389645,1.0
