,SVM_RBF,LogisticRegression,SVM_Linear,NaiveBayes,KNN,GradientBoosting,ExtraTrees,RandomForest,XGBoost,LightGBM
SVM_RBF,0.0,0.23720959698815886,0.8306261076633725,2.326747564841475,2.3090990292934985,1.3558611140016308,1.726187769150163,1.9986466943259285,2.4763145072310606,2.6845325826294824
LogisticRegression,-0.23720959698815886,0.0,0.48948103637442186,2.2161881474828404,1.9802091538875426,1.2810711765258882,1.4216050688729045,1.8380367085323428,2.3072026177487603,2.557131908482683
SVM_Linear,-0.8306261076633725,-0.48948103637442186,0.0,2.0828860635680893,1.8317022713573758,1.0139854835313946,1.2491091506034335,1.604190996181861,2.093683664228855,2.4377852518371355
NaiveBayes,-2.326747564841475,-2.2161881474828404,-2.0828860635680893,0.0,-0.42944264665256426,-0.8281144256052162,-0.7021529819464176,-0.36151155093905046,0.2817796021174907,0.4910642867058754
KNN,-2.3090990292934985,-1.9802091538875426,-1.8317022713573758,0.42944264665256426,0.0,-0.5716552320398914,-0.4784237917518925,0.0,0.7322835660583211,0.9984241413144809
GradientBoosting,-1.3558611140016308,-1.2810711765258882,-1.0139854835313946,0.8281144256052162,0.5716552320398914,0.0,0.16890874184009005,0.9758510822272828,1.5783425904174415,1.7102403636779506
ExtraTrees,-1.726187769150163,-1.4216050688729045,-1.2491091506034335,0.7021529819464176,0.4784237917518925,-0.16890874184009005,0.0,0.4847092657080863,1.3644733580933224,1.5062327006769216
RandomForest,-1.9986466943259285,-1.8380367085323428,-1.604190996181861,0.36151155093905046,-0.0,-0.9758510822272828,-0.4847092657080863,0.0,1.047580390325043,1.1937386262618384
XGBoost,-2.4763145072310606,-2.3072026177487603,-2.093683664228855,-0.2817796021174907,-0.7322835660583211,-1.5783425904174415,-1.3644733580933224,-1.047580390325043,0.0,0.3363389324439831
LightGBM,-2.6845325826294824,-2.557131908482683,-2.4377852518371355,-0.4910642867058754,-0.9984241413144809,-1.7102403636779506,-1.5062327006769216,-1.1937386262618384,-0.3363389324439831,0.0
