Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_RBF,0.790 ± 0.070,0.819 ± 0.118,0.732 ± 0.057,0.722 ± 0.035,0.752 ± 0.113,0.798 ± 0.164,0.758 ± 0.075,0.645 ± 0.199,6.000 ± 2.449
LogisticRegression,0.778 ± 0.058,0.815 ± 0.099,0.734 ± 0.064,0.727 ± 0.061,0.764 ± 0.113,0.784 ± 0.153,0.759 ± 0.072,0.670 ± 0.204,6.000 ± 2.449
SVM_Linear,0.767 ± 0.075,0.808 ± 0.111,0.734 ± 0.064,0.729 ± 0.061,0.792 ± 0.140,0.753 ± 0.189,0.747 ± 0.085,0.705 ± 0.244,6.000 ± 2.449
NaiveBayes,0.744 ± 0.066,0.798 ± 0.078,0.609 ± 0.106,0.601 ± 0.052,0.644 ± 0.175,0.867 ± 0.241,0.696 ± 0.104,0.336 ± 0.334,6.000 ± 2.449
KNN,0.738 ± 0.121,0.762 ± 0.161,0.683 ± 0.102,0.676 ± 0.083,0.740 ± 0.131,0.691 ± 0.185,0.696 ± 0.112,0.660 ± 0.214,6.000 ± 2.449
GradientBoosting,0.734 ± 0.059,0.749 ± 0.113,0.684 ± 0.086,0.679 ± 0.079,0.721 ± 0.111,0.705 ± 0.154,0.703 ± 0.106,0.653 ± 0.143,6.000 ± 2.449
ExtraTrees,0.732 ± 0.117,0.775 ± 0.171,0.679 ± 0.058,0.675 ± 0.063,0.714 ± 0.146,0.716 ± 0.137,0.703 ± 0.094,0.634 ± 0.163,6.000 ± 2.449
RandomForest,0.705 ± 0.117,0.741 ± 0.188,0.686 ± 0.112,0.688 ± 0.105,0.717 ± 0.162,0.702 ± 0.188,0.699 ± 0.151,0.674 ± 0.101,6.000 ± 2.449
XGBoost,0.686 ± 0.055,0.736 ± 0.154,0.641 ± 0.090,0.642 ± 0.094,0.681 ± 0.200,0.665 ± 0.206,0.655 ± 0.156,0.619 ± 0.190,6.000 ± 2.449
LightGBM,0.655 ± 0.092,0.698 ± 0.157,0.627 ± 0.107,0.627 ± 0.116,0.682 ± 0.196,0.610 ± 0.129,0.637 ± 0.140,0.644 ± 0.176,6.000 ± 2.449
