Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K,Run_Name,Run_Dir,Experiment_ID,FS_METHOD,FS_N_FEATURES,USE_SMOTE,N_Unique_Selected_Features,Max_Selection_Count,Mean_Selection_Count
NaiveBayes,0.6812698412698414,0.1003817354868402,0.6168253968253968,0.741584803521594,0.094743714427453,0.6867294093058012,0.5630252100840336,0.074052097155181,0.5663716814159292,0.5639285714285713,0.1095248447156047,0.5553968253968254,0.6338528138528139,0.1191715686885129,0.6029411764705882,0.6919047619047619,0.2123382404200223,0.6507936507936508,0.621904761904762,0.0808481121211874,0.6259541984732825,0.4359523809523809,0.2765641970719291,0.46,9.2,9.2,4.995998398718719,4,8.0,16,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch/ADC_Post1_Pre_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,35,3,1.3142857142857143
XGBoost,0.6808333333333334,0.134836434977831,0.6663492063492064,0.7485639043046163,0.1482332074314696,0.7087883080232149,0.6543697478991597,0.0626433122990084,0.6460176991150443,0.6412301587301588,0.0786708125661038,0.6309523809523809,0.673810503222268,0.0930085647035347,0.6575342465753424,0.7936507936507936,0.1603096021962234,0.7619047619047619,0.7105376344086022,0.0635279154843415,0.7058823529411765,0.4888095238095237,0.2190005125331808,0.5,14.0,14.0,3.3466401061363023,10,12.0,18,corr_mrmr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch/ADC_Post1_Pre_T2/fs_method_comparison/corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k,corr_mrmr,auto,False,46,4,1.5217391304347827
LogisticRegression,0.6792460317460318,0.1853233913601722,0.6828571428571428,0.7555321854654393,0.0601901590746085,0.6959354776593549,0.6551820728291317,0.123139911987094,0.6460176991150443,0.641825396825397,0.1626356053761119,0.6392063492063491,0.6941269841269841,0.0779643857941238,0.676923076923077,0.7450793650793651,0.1898895728749246,0.6984126984126984,0.6983152325257589,0.1067056085446689,0.6875,0.5385714285714286,0.2882600866422897,0.58,14.0,14.0,3.3466401061363023,10,12.0,18,corr_mrmr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch/ADC_Post1_Pre_T2/fs_method_comparison/corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k,corr_mrmr,auto,False,46,4,1.5217391304347827
KNN,0.6777777777777778,0.0548015729342648,0.6241269841269842,0.7323428844080345,0.161485699474956,0.6753029199688354,0.5757422969187675,0.0284703476421729,0.5752212389380531,0.5953571428571427,0.0522294586581737,0.5674603174603174,0.6680701754385965,0.189742012728534,0.6153846153846154,0.6752380952380952,0.1697940892782851,0.6349206349206349,0.6264513213478731,0.048061885135784,0.625,0.5154761904761905,0.2519088126418393,0.5,10.4,10.4,6.374950980203691,4,8.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch/ADC_Post1_Pre_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,33,4,1.5757575757575757
NaiveBayes,0.6751190476190476,0.1191783409279307,0.6377777777777778,0.7622382583971852,0.0987393310356781,0.7088703841111015,0.549453781512605,0.0636009248273851,0.5575221238938053,0.5407142857142857,0.1215083252977098,0.530952380952381,0.5986879786879787,0.1237148531833267,0.5783132530120482,0.7952380952380952,0.1815639900676673,0.7619047619047619,0.6549527202932948,0.029483649010865,0.6575342465753424,0.2861904761904762,0.2708029548635166,0.3,10.4,10.4,6.374950980203691,4,8.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch/ADC_Post1_Pre_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,33,4,1.5757575757575757
LightGBM,0.6748015873015873,0.1284069592768559,0.682063492063492,0.7173336321264967,0.1804833935890804,0.7202456745669366,0.6615966386554623,0.13204956560431,0.6637168141592921,0.6648809523809524,0.116996483377497,0.6653968253968254,0.7151515151515151,0.1846905658759866,0.7192982456140351,0.6390476190476191,0.1618350301125481,0.6507936507936508,0.6626959247648903,0.1500169505266259,0.6833333333333333,0.6907142857142856,0.1659856836161868,0.68,9.2,9.2,4.995998398718719,4,8.0,16,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch/ADC_Post1_Pre_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,35,3,1.3142857142857143
RandomForest,0.6701190476190477,0.0716110543777669,0.6647619047619048,0.7185506425165675,0.142145677716752,0.699166072651481,0.6261204481792717,0.0732268016072844,0.6283185840707964,0.6286111111111111,0.0755698099132185,0.6315873015873016,0.681163542340013,0.1603800784296769,0.6909090909090909,0.5926984126984127,0.1804800295552922,0.6031746031746031,0.6183543149060391,0.1330663862770722,0.6440677966101694,0.6645238095238095,0.1555153819196205,0.66,9.2,9.2,4.995998398718719,4,8.0,16,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch/ADC_Post1_Pre_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,35,3,1.3142857142857143
GradientBoosting,0.6652777777777779,0.0742593817797652,0.6711111111111111,0.705593426321293,0.1455983687438889,0.6945533068410601,0.626218487394958,0.0339420677454989,0.6283185840707964,0.6271825396825397,0.0480886238838205,0.6233333333333333,0.6755128205128205,0.1421484440457991,0.6666666666666666,0.6850793650793652,0.1207626725394116,0.6666666666666666,0.662000962000962,0.0676830405621923,0.6666666666666666,0.5692857142857143,0.1770449037933136,0.58,9.2,9.2,4.995998398718719,4,8.0,16,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch/ADC_Post1_Pre_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,35,3,1.3142857142857143
SVM_Linear,0.6649603174603175,0.1441000604179139,0.6441269841269841,0.7198854512824364,0.0631393314403961,0.6690158372724371,0.6268907563025211,0.0754866881002595,0.6283185840707964,0.6058333333333333,0.1257814825620415,0.6068253968253968,0.6429411764705882,0.0884966716868718,0.6329113924050633,0.8095238095238095,0.1044487865165847,0.7936507936507936,0.7054636591478697,0.0330790610887127,0.704225352112676,0.4021428571428571,0.2339501080598692,0.42,14.0,14.0,3.3466401061363023,10,12.0,18,corr_mrmr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch/ADC_Post1_Pre_T2/fs_method_comparison/corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k,corr_mrmr,auto,False,46,4,1.5217391304347827
GradientBoosting,0.6648015873015873,0.1549348646860624,0.6292063492063491,0.7631813952718683,0.1696524864405459,0.7145603985860705,0.6046498599439776,0.1173066687699109,0.6017699115044248,0.6008730158730159,0.1309928749319702,0.5995238095238096,0.6349750902692078,0.2274975449810467,0.65,0.6217460317460317,0.2500317944005047,0.6190476190476191,0.610548977808506,0.2039306548870529,0.6341463414634146,0.58,0.16,0.58,10.4,10.4,6.374950980203691,4,8.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch/ADC_Post1_Pre_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,33,4,1.5757575757575757
