Model,ROC_AUC,ROC_AUC_bootstrap_mean,ROC_AUC_CI95_low,ROC_AUC_CI95_high,PR_AUC,PR_AUC_bootstrap_mean,PR_AUC_CI95_low,PR_AUC_CI95_high,Accuracy,Balanced_Accuracy,Sensitivity_Recall,Specificity,PPV_Precision,NPV,F1,Cohen_Kappa,Brier_Score,TN,FP,FN,TP,Mean_Selected_Features,Std_Selected_Features
LogisticRegression,0.6971875000000001,0.6971273915575807,0.5973606272155937,0.7889925045700662,0.7465709582542546,0.7501919143411582,0.6362571934264862,0.8491064626066775,0.6666666666666666,0.6703125,0.640625,0.7,0.7321428571428571,0.603448275862069,0.6833333333333333,0.33476658476658483,0.22658891542577117,35,15,23,41,12.0,4.69041575982343
SVM_RBF,0.6828125,0.6827172544811144,0.578327678897646,0.7779273739945851,0.7141115902274071,0.7197674020249695,0.5947053048769249,0.8297369861078945,0.631578947368421,0.6215625,0.703125,0.54,0.6617647058823529,0.5869565217391305,0.6818181818181818,0.24527112232030257,0.22706550705094763,27,23,19,45,12.0,4.69041575982343
LightGBM,0.67203125,0.6725334161875259,0.5744296436204583,0.7684899335746717,0.7142904056558939,0.720062642025441,0.6001154692131265,0.835731850420122,0.6052631578947368,0.6134375000000001,0.546875,0.68,0.6862745098039216,0.5396825396825397,0.6086956521739131,0.22060164083865097,0.24070188219005853,34,16,29,35,12.0,4.69041575982343
RandomForest,0.670625,0.6711137487182036,0.5704840362070756,0.7711090237047896,0.6785230026857085,0.6886174476708856,0.5652500538124499,0.8113124930404297,0.6754385964912281,0.6737500000000001,0.6875,0.66,0.7213114754098361,0.6226415094339622,0.704,0.34523439925488975,0.23071429868198828,33,17,20,44,12.0,4.69041575982343
SVM_Linear,0.6690625,0.6686454962681275,0.5651410657315036,0.7697932276766116,0.6884476265048114,0.7012133766436704,0.5653997434705879,0.8221692865673542,0.6578947368421053,0.6428125,0.765625,0.52,0.6712328767123288,0.6341463414634146,0.7153284671532847,0.29136117309531395,0.235666966813554,26,24,15,49,12.0,4.69041575982343
ExtraTrees,0.66875,0.6685205069310235,0.5668080369002709,0.7679984883709328,0.7011429897836434,0.7103832668136051,0.5882022825276926,0.8264456294461151,0.6491228070175439,0.6525000000000001,0.625,0.68,0.7142857142857143,0.5862068965517241,0.6666666666666666,0.2997542997542998,0.23940006846626005,34,16,24,40,12.0,4.69041575982343
XGBoost,0.6275,0.628810414577787,0.5261611073866287,0.7348354330617608,0.6290851690932131,0.6439453650824221,0.5218311820881166,0.7684559239767029,0.6578947368421053,0.6559375000000001,0.671875,0.64,0.7049180327868853,0.6037735849056604,0.688,0.30984166407947844,0.2842811818732426,32,18,21,43,12.0,4.69041575982343
KNN,0.60625,0.6057242914493551,0.5011028612278164,0.7085032971521943,0.6374069836094232,0.6482981411631151,0.5253289728414572,0.7697163719497502,0.6052631578947368,0.589375,0.71875,0.46,0.6301369863013698,0.5609756097560976,0.6715328467153284,0.18233981510997765,0.2544030761204352,23,27,18,46,12.0,4.69041575982343
GradientBoosting,0.59609375,0.5966305596345886,0.4946129055756072,0.6979315934480675,0.6750572273530878,0.6798147473181737,0.554409536527853,0.7932635481976857,0.5263157894736842,0.5015625,0.703125,0.3,0.5625,0.4411764705882353,0.625,0.0032383419689120396,0.24118184796491837,15,35,19,45,12.0,4.69041575982343
NaiveBayes,0.5943749999999999,0.5941139886651615,0.48885145121222606,0.6935487669013015,0.6439157962398425,0.6572787909052741,0.5271193715657064,0.7859172535560499,0.6052631578947368,0.5828125,0.765625,0.4,0.620253164556962,0.5714285714285714,0.6853146853146853,0.17124394184168001,0.35193221145423986,20,30,15,49,12.0,4.69041575982343
