,LogisticRegression,SVM_Linear,NaiveBayes,SVM_RBF,KNN,ExtraTrees,RandomForest,GradientBoosting,LightGBM,XGBoost
LogisticRegression,0.0,2.3278290578713627,1.1792087346113196,2.2540411190184737,0.6194379071083513,2.396223824624751,1.1624634854248361,2.1153256689564857,1.96612564842495,2.589064368549992
SVM_Linear,-2.3278290578713627,0.0,0.09908739302416136,-0.1702375440356256,-0.513049790549544,1.1001966738946627,0.024777236081685704,0.9031654148161223,1.0047872571211867,1.6850816658578394
NaiveBayes,-1.1792087346113196,-0.09908739302416136,0.0,-0.18266236532244073,-0.5667518369828894,0.6855671965322775,-0.06275764679471492,0.5068487879083569,0.8743511552372293,1.4238099411450347
SVM_RBF,-2.2540411190184737,0.1702375440356256,0.18266236532244073,0.0,-0.46179590372886536,1.3645291742140357,0.11362057387707049,0.9381910714933902,1.161075088098157,1.7479665968480658
KNN,-0.6194379071083513,0.513049790549544,0.5667518369828894,0.46179590372886536,0.0,1.4581547129351737,0.5187374729986168,1.1227836880385877,1.437122360568077,2.2455552230536804
ExtraTrees,-2.396223824624751,-1.1001966738946627,-0.6855671965322775,-1.3645291742140357,-1.4581547129351737,0.0,-0.8873409981313829,-0.17473788711670116,0.3178353572664104,1.0631822504359028
RandomForest,-1.1624634854248361,-0.024777236081685704,0.06275764679471492,-0.11362057387707049,-0.5187374729986168,0.8873409981313829,0.0,0.8469531177371948,1.2367758074369757,2.1386464744146134
GradientBoosting,-2.1153256689564857,-0.9031654148161223,-0.5068487879083569,-0.9381910714933902,-1.1227836880385877,0.17473788711670116,-0.8469531177371948,0.0,0.5638174734691273,1.3735932213884183
LightGBM,-1.96612564842495,-1.0047872571211867,-0.8743511552372293,-1.161075088098157,-1.437122360568077,-0.3178353572664104,-1.2367758074369757,-0.5638174734691273,0.0,0.9236962349772165
XGBoost,-2.589064368549992,-1.6850816658578394,-1.4238099411450347,-1.7479665968480658,-2.2455552230536804,-1.0631822504359028,-2.1386464744146134,-1.3735932213884183,-0.9236962349772165,0.0
