fold,var_smoothing
1,1.8215019929305214e-09
2,1.8215019929305214e-09
3,1.8215019929305214e-09
4,1.8215019929305214e-09
5,1.8215019929305214e-09
6,1.8215019929305214e-09
7,1.8215019929305214e-09
8,1.8215019929305214e-09
9,1.8215019929305214e-09
10,1.8215019929305214e-09
11,1.8215019929305214e-09
12,1.8215019929305214e-09
13,1.8215019929305214e-09
14,1.8215019929305214e-09
15,1.8215019929305214e-09
