Feature,Outlier_Count,Outlier_Rate
GLSZM_ZoneSizeVariance,32,0.27586206896551724
GLSZM_LargeZoneLowGreyLevelEmphasis,32,0.27586206896551724
GLSZM_LargeZoneEmphasis,31,0.2672413793103448
GLSZM_LargeZoneHighGreyLevelEmphasis,28,0.2413793103448276
IH_MaximumHistogramGradient_Intensity,25,0.21551724137931033
Morph_IntegratedIntensity_Intensity,21,0.1810344827586207
IH_MinimumHistogramGradient_Intensity,21,0.1810344827586207
IB_TotalLesionGlycolysis,21,0.1810344827586207
GLRLM_GreyLevelNonUniformity,20,0.1724137931034483
GLCM_AngularSecondMoment,19,0.16379310344827586
NGTDM_Busyness,19,0.16379310344827586
Morph_ApproximateVolume_cm3,19,0.16379310344827586
Morph_Volume_cm3,19,0.16379310344827586
Morph_voxelsCounting_vx,19,0.16379310344827586
IB_IntensityBasedEnergy,18,0.15517241379310345
GLCM_JointMaximum,18,0.15517241379310345
GLSZM_GreyLevelNonUniformity,17,0.14655172413793102
GLRLM_RunLengthNonUniformity,17,0.14655172413793102
GLRLM_LongRunLowGreyLevelEmphasis,17,0.14655172413793102
GLCM_ClusterProminence,15,0.12931034482758622
Morph_SurfaceArea_cm2,14,0.1206896551724138
GLRLM_LongRunsEmphasis,14,0.1206896551724138
IH_Uniformity_Intensity,13,0.11206896551724138
GLCM_ClusterShade,13,0.11206896551724138
GLSZM_ZoneSizeNonUniformity,13,0.11206896551724138
GLRLM_RunLengthVariance,13,0.11206896551724138
GLRLM_LowGreyLevelRunEmphasis,12,0.10344827586206896
GLRLM_ShortRunLowGreyLevelEmphasis,10,0.08620689655172414
IB_IntensityKurtosis,9,0.07758620689655173
IH_IntensityHistogramKurtosis_Intensity,9,0.07758620689655173
Morph_CentreOfMassShift_mm,9,0.07758620689655173
GLSZM_NormalisedGreyLevelNonUniformity,8,0.06896551724137931
GLRLM_ShortRunsEmphasis,7,0.0603448275862069
NGTDM_Complexity,7,0.0603448275862069
Morph_SphereDiameter_mm,7,0.0603448275862069
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,7,0.0603448275862069
Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,7,0.0603448275862069
Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,7,0.0603448275862069
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,6,0.05172413793103448
Morph_Compacity,6,0.05172413793103448
Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist,6,0.05172413793103448
Morph_Maximum3DDiameter_mm,6,0.05172413793103448
Morph_MaxIntensityCoor_RoiCentroidCoor_Dist_cm,6,0.05172413793103448
GLRLM_RunPercentage,6,0.05172413793103448
Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist,6,0.05172413793103448
Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,5,0.04310344827586207
