Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
XGBoost,0.762 ± 0.129,0.821 ± 0.093,0.592 ± 0.090,0.620 ± 0.093,0.655 ± 0.134,0.679 ± 0.218,0.634 ± 0.077,0.561 ± 0.183,13.200 ± 5.762
SVM_RBF,0.742 ± 0.077,0.788 ± 0.095,0.625 ± 0.074,0.656 ± 0.052,0.698 ± 0.190,0.740 ± 0.219,0.671 ± 0.083,0.573 ± 0.273,13.200 ± 5.762
SVM_Linear,0.732 ± 0.055,0.749 ± 0.126,0.627 ± 0.076,0.660 ± 0.070,0.704 ± 0.173,0.713 ± 0.228,0.664 ± 0.077,0.606 ± 0.245,13.200 ± 5.762
LightGBM,0.727 ± 0.149,0.784 ± 0.085,0.655 ± 0.099,0.688 ± 0.072,0.757 ± 0.142,0.642 ± 0.212,0.660 ± 0.088,0.734 ± 0.182,13.200 ± 5.762
RandomForest,0.718 ± 0.108,0.791 ± 0.054,0.667 ± 0.085,0.676 ± 0.107,0.706 ± 0.132,0.728 ± 0.123,0.703 ± 0.053,0.624 ± 0.192,13.200 ± 5.762
GradientBoosting,0.711 ± 0.107,0.766 ± 0.078,0.565 ± 0.060,0.590 ± 0.072,0.630 ± 0.144,0.695 ± 0.212,0.623 ± 0.062,0.484 ± 0.224,13.200 ± 5.762
ExtraTrees,0.705 ± 0.116,0.752 ± 0.094,0.645 ± 0.088,0.664 ± 0.076,0.716 ± 0.104,0.664 ± 0.224,0.660 ± 0.086,0.664 ± 0.168,13.200 ± 5.762
LogisticRegression,0.702 ± 0.120,0.732 ± 0.126,0.648 ± 0.146,0.681 ± 0.119,0.770 ± 0.154,0.618 ± 0.239,0.647 ± 0.129,0.744 ± 0.208,13.200 ± 5.762
KNN,0.688 ± 0.061,0.688 ± 0.132,0.630 ± 0.042,0.661 ± 0.041,0.680 ± 0.173,0.760 ± 0.200,0.683 ± 0.051,0.561 ± 0.233,13.200 ± 5.762
NaiveBayes,0.606 ± 0.131,0.665 ± 0.161,0.564 ± 0.154,0.536 ± 0.144,0.577 ± 0.171,0.711 ± 0.216,0.627 ± 0.165,0.360 ± 0.244,13.200 ± 5.762
