,XGBoost,SVM_RBF,SVM_Linear,LightGBM,RandomForest,GradientBoosting,ExtraTrees,LogisticRegression,KNN,NaiveBayes
XGBoost,1.0,0.929473892495266,0.882515316877599,0.7606382764246683,0.8463871574724038,0.34945681965221453,0.7607736604195321,0.7261621638117846,0.5863457331813069,0.22542579332866297
SVM_RBF,0.929473892495266,1.0,0.6673454960737781,0.7453420514521789,0.751442300229265,0.30816340268229026,0.8066306474305913,0.6325681120723066,0.5521485484701798,0.18962394527835746
SVM_Linear,0.882515316877599,0.6673454960737781,1.0,0.9322837019764962,0.9938004314890282,0.18889210052582772,0.6596128735552982,0.1802043510961927,0.4599956755772998,0.11393884989488433
LightGBM,0.7606382764246683,0.7453420514521789,0.9322837019764962,1.0,0.9066070038047515,0.25489098579284863,0.6126837523306174,0.5839464356395663,0.4654340558210849,0.1518786488704714
RandomForest,0.8463871574724038,0.751442300229265,0.9938004314890282,0.9066070038047515,1.0,0.16055263557394395,0.5457358520652328,0.5457961593758631,0.4566089855642259,0.13956881353667025
GradientBoosting,0.34945681965221453,0.30816340268229026,0.18889210052582772,0.25489098579284863,0.16055263557394395,1.0,0.46128533523581483,0.491402361977361,0.6755222661268532,0.4367801195706299
ExtraTrees,0.7607736604195321,0.8066306474305913,0.6596128735552982,0.6126837523306174,0.5457358520652328,0.46128533523581483,1.0,0.9019582956478827,0.7749951956084411,0.24542780055518787
LogisticRegression,0.7261621638117846,0.6325681120723066,0.1802043510961927,0.5839464356395663,0.5457961593758631,0.491402361977361,0.9019582956478827,1.0,0.8797433128726398,0.19278268001051524
KNN,0.5863457331813069,0.5521485484701798,0.4599956755772998,0.4654340558210849,0.4566089855642259,0.6755222661268532,0.7749951956084411,0.8797433128726398,1.0,0.3256122417123051
NaiveBayes,0.22542579332866297,0.18962394527835746,0.11393884989488433,0.1518786488704714,0.13956881353667025,0.4367801195706299,0.24542780055518787,0.19278268001051524,0.3256122417123051,1.0
