,XGBoost,SVM_RBF,SVM_Linear,LightGBM,RandomForest,GradientBoosting,ExtraTrees,LogisticRegression,KNN,NaiveBayes
XGBoost,0.0,0.08850678419338472,-0.14778136442068357,-0.3046427243475674,-0.19373018231529515,0.9356434031382516,0.30446499124039644,0.3502352373717844,0.5441391329428542,1.2122262303374702
SVM_RBF,-0.08850678419338472,0.0,-0.42979400241443866,-0.32478730739965234,-0.31673814777432585,1.0190833401153867,0.24477500625111484,0.47811534334197064,0.5945436619288241,1.31169239057825
SVM_Linear,0.14778136442068357,0.42979400241443866,0.0,-0.08497193580956974,-0.007770085044821694,1.3138636283081049,0.44044771400049704,1.340126102803707,0.7388539699844274,1.5807340917256028
LightGBM,0.3046427243475674,0.32478730739965234,0.08497193580956974,0.0,0.11731933489267692,1.138549777787364,0.506246304766572,0.5476293450628199,0.7299282294901616,1.4329271799245147
RandomForest,0.19373018231529515,0.31673814777432585,0.007770085044821694,-0.11731933489267692,0.0,1.4032153366523181,0.6041621357906262,0.6040714207449089,0.7444422186095798,1.4773986287140968
GradientBoosting,-0.9356434031382516,-1.0190833401153867,-1.3138636283081049,-1.138549777787364,-1.4032153366523181,0.0,-0.7367320124243604,-0.6880800672362247,-0.4185811527428506,0.7776419559022849
ExtraTrees,-0.30446499124039644,-0.24477500625111484,-0.44044771400049704,-0.506246304766572,-0.6041621357906262,0.7367320124243604,0.0,0.12318791432179757,0.28584714738217215,1.1615266286248405
LogisticRegression,-0.3502352373717844,-0.47811534334197064,-1.340126102803707,-0.5476293450628199,-0.6040714207449089,0.6880800672362247,-0.12318791432179757,0.0,0.15129462022502307,1.3023912271648508
KNN,-0.5441391329428542,-0.5945436619288241,-0.7388539699844274,-0.7299282294901616,-0.7444422186095798,0.4185811527428506,-0.28584714738217215,-0.15129462022502307,0.0,0.9829902410634525
NaiveBayes,-1.2122262303374702,-1.31169239057825,-1.5807340917256028,-1.4329271799245147,-1.4773986287140968,-0.7776419559022849,-1.1615266286248405,-1.3023912271648508,-0.9829902410634525,0.0
