Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
LogisticRegression,0.788 ± 0.081,0.843 ± 0.073,0.699 ± 0.087,0.697 ± 0.084,0.746 ± 0.073,0.711 ± 0.139,0.719 ± 0.081,0.684 ± 0.134,8.000 ± 4.690
SVM_RBF,0.787 ± 0.051,0.831 ± 0.086,0.691 ± 0.092,0.689 ± 0.090,0.741 ± 0.083,0.694 ± 0.139,0.709 ± 0.089,0.684 ± 0.134,8.000 ± 4.690
SVM_Linear,0.780 ± 0.062,0.825 ± 0.078,0.689 ± 0.096,0.697 ± 0.079,0.762 ± 0.071,0.662 ± 0.156,0.698 ± 0.085,0.731 ± 0.108,8.000 ± 4.690
GradientBoosting,0.763 ± 0.031,0.764 ± 0.088,0.698 ± 0.064,0.701 ± 0.050,0.746 ± 0.093,0.691 ± 0.148,0.708 ± 0.091,0.711 ± 0.069,8.000 ± 4.690
KNN,0.763 ± 0.057,0.797 ± 0.100,0.708 ± 0.085,0.717 ± 0.064,0.797 ± 0.063,0.649 ± 0.160,0.703 ± 0.091,0.785 ± 0.093,8.000 ± 4.690
ExtraTrees,0.730 ± 0.076,0.762 ± 0.103,0.684 ± 0.086,0.690 ± 0.077,0.728 ± 0.127,0.691 ± 0.148,0.699 ± 0.109,0.689 ± 0.086,8.000 ± 4.690
NaiveBayes,0.727 ± 0.173,0.791 ± 0.067,0.553 ± 0.081,0.547 ± 0.112,0.608 ± 0.122,0.771 ± 0.252,0.642 ± 0.086,0.324 ± 0.329,8.000 ± 4.690
RandomForest,0.720 ± 0.100,0.759 ± 0.144,0.622 ± 0.082,0.620 ± 0.061,0.661 ± 0.140,0.657 ± 0.199,0.641 ± 0.137,0.583 ± 0.145,8.000 ± 4.690
LightGBM,0.675 ± 0.081,0.700 ± 0.157,0.614 ± 0.044,0.613 ± 0.046,0.662 ± 0.144,0.626 ± 0.119,0.634 ± 0.098,0.599 ± 0.124,8.000 ± 4.690
XGBoost,0.644 ± 0.120,0.723 ± 0.143,0.582 ± 0.105,0.572 ± 0.109,0.614 ± 0.196,0.612 ± 0.157,0.607 ± 0.159,0.533 ± 0.168,8.000 ± 4.690
