,LogisticRegression,SVM_RBF,SVM_Linear,GradientBoosting,KNN,ExtraTrees,NaiveBayes,RandomForest,LightGBM,XGBoost
LogisticRegression,1.0,0.8630339198464438,0.2716555096991097,0.4948316044000809,0.17235163595327319,0.039611839890069014,0.0011052701906186582,0.028245022840969993,0.003529013022581261,0.003666348556148188
SVM_RBF,0.8630339198464438,1.0,0.5603404323840262,0.5253347685301961,0.15361963204930915,0.0367614004475593,0.0018374589238821762,0.0173096116926306,0.004012447829462649,0.002892408070167896
SVM_Linear,0.2716555096991097,0.5603404323840262,1.0,0.690242935977455,0.31396013668040745,0.07777404842538287,0.0037354432529632803,0.06277843752197323,0.009608726490383577,0.007639292014169812
GradientBoosting,0.4948316044000809,0.5253347685301961,0.690242935977455,1.0,0.7586733749712221,0.2961255520257825,0.042834276083118454,0.17394030644485892,0.026241639514029573,0.027752888097323437
KNN,0.17235163595327319,0.15361963204930915,0.31396013668040745,0.7586733749712221,1.0,0.37625019007426097,0.01890702922989853,0.3238220806155083,0.0667745915156184,0.053004089405750424
ExtraTrees,0.039611839890069014,0.0367614004475593,0.07777404842538287,0.2961255520257825,0.37625019007426097,1.0,0.14650440370903706,0.8921990865807973,0.12976140959304172,0.21049398428071076
NaiveBayes,0.0011052701906186582,0.0018374589238821762,0.0037354432529632803,0.042834276083118454,0.01890702922989853,0.14650440370903706,1.0,0.1678392189022242,0.7280259918778268,0.6653559508940023
RandomForest,0.028245022840969993,0.0173096116926306,0.06277843752197323,0.17394030644485892,0.3238220806155083,0.8921990865807973,0.1678392189022242,1.0,0.1320018240395005,0.1451771764837474
LightGBM,0.003529013022581261,0.004012447829462649,0.009608726490383577,0.026241639514029573,0.0667745915156184,0.12976140959304172,0.7280259918778268,0.1320018240395005,1.0,0.9313788715914633
XGBoost,0.003666348556148188,0.002892408070167896,0.007639292014169812,0.027752888097323437,0.053004089405750424,0.21049398428071076,0.6653559508940023,0.1451771764837474,0.9313788715914633,1.0
