Model,Fold,ROC_AUC
LogisticRegression,1,0.7916666666666666
SVM_RBF,1,0.826388888888889
SVM_Linear,1,0.8055555555555556
RandomForest,1,0.7708333333333333
GradientBoosting,1,0.75
ExtraTrees,1,0.8194444444444444
KNN,1,0.6215277777777778
NaiveBayes,1,0.7083333333333333
XGBoost,1,0.7013888888888888
LightGBM,1,0.6458333333333333
LogisticRegression,2,0.7214285714285714
SVM_RBF,2,0.7857142857142857
SVM_Linear,2,0.75
RandomForest,2,0.7
GradientBoosting,2,0.6428571428571429
ExtraTrees,2,0.7071428571428572
KNN,2,0.7571428571428571
NaiveBayes,2,0.8357142857142857
XGBoost,2,0.6000000000000001
LightGBM,2,0.5714285714285714
LogisticRegression,3,0.861111111111111
SVM_RBF,3,0.875
SVM_Linear,3,0.861111111111111
RandomForest,3,0.8333333333333334
GradientBoosting,3,0.7638888888888888
ExtraTrees,3,0.8888888888888888
KNN,3,0.8125
NaiveBayes,3,0.7361111111111112
XGBoost,3,0.6805555555555556
LightGBM,3,0.8194444444444444
LogisticRegression,4,0.7722222222222223
SVM_RBF,4,0.7777777777777778
SVM_Linear,4,0.7833333333333333
RandomForest,4,0.7
GradientBoosting,4,0.6916666666666667
ExtraTrees,4,0.7222222222222222
KNN,4,0.7777777777777777
NaiveBayes,4,0.7888888888888889
XGBoost,4,0.7277777777777777
LightGBM,4,0.7444444444444445
LogisticRegression,5,0.75
SVM_RBF,5,0.7976190476190477
SVM_Linear,5,0.6904761904761905
RandomForest,5,0.7976190476190478
GradientBoosting,5,0.8154761904761905
ExtraTrees,5,0.8214285714285715
KNN,5,0.755952380952381
NaiveBayes,5,0.7142857142857144
XGBoost,5,0.6785714285714286
LightGBM,5,0.6547619047619048
