Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_RBF,0.806 ± 0.050,0.833 ± 0.099,0.740 ± 0.048,0.730 ± 0.020,0.763 ± 0.098,0.781 ± 0.153,0.759 ± 0.074,0.679 ± 0.162,7.600 ± 3.286
SVM_Linear,0.790 ± 0.062,0.839 ± 0.078,0.742 ± 0.055,0.737 ± 0.053,0.799 ± 0.128,0.753 ± 0.189,0.752 ± 0.084,0.721 ± 0.221,7.600 ± 3.286
LogisticRegression,0.790 ± 0.047,0.840 ± 0.068,0.725 ± 0.076,0.719 ± 0.073,0.762 ± 0.117,0.750 ± 0.133,0.745 ± 0.083,0.687 ± 0.180,7.600 ± 3.286
KNN,0.778 ± 0.040,0.792 ± 0.116,0.708 ± 0.068,0.701 ± 0.040,0.762 ± 0.091,0.708 ± 0.186,0.716 ± 0.097,0.693 ± 0.176,7.600 ± 3.286
ExtraTrees,0.767 ± 0.105,0.822 ± 0.142,0.679 ± 0.083,0.671 ± 0.094,0.707 ± 0.172,0.693 ± 0.207,0.687 ± 0.155,0.650 ± 0.150,7.600 ± 3.286
RandomForest,0.748 ± 0.071,0.792 ± 0.125,0.694 ± 0.091,0.696 ± 0.079,0.736 ± 0.118,0.688 ± 0.153,0.704 ± 0.115,0.703 ± 0.083,7.600 ± 3.286
GradientBoosting,0.744 ± 0.048,0.765 ± 0.098,0.693 ± 0.080,0.687 ± 0.074,0.729 ± 0.100,0.705 ± 0.154,0.708 ± 0.104,0.670 ± 0.124,7.600 ± 3.286
NaiveBayes,0.740 ± 0.068,0.807 ± 0.068,0.601 ± 0.110,0.593 ± 0.059,0.640 ± 0.178,0.833 ± 0.229,0.684 ± 0.106,0.353 ± 0.326,7.600 ± 3.286
XGBoost,0.693 ± 0.048,0.773 ± 0.127,0.633 ± 0.089,0.634 ± 0.093,0.675 ± 0.202,0.648 ± 0.200,0.645 ± 0.155,0.619 ± 0.190,7.600 ± 3.286
LightGBM,0.687 ± 0.064,0.749 ± 0.106,0.635 ± 0.100,0.636 ± 0.108,0.689 ± 0.194,0.643 ± 0.114,0.656 ± 0.128,0.630 ± 0.186,7.600 ± 3.286
