,SVM_RBF,SVM_Linear,LogisticRegression,KNN,ExtraTrees,RandomForest,GradientBoosting,NaiveBayes,XGBoost,LightGBM
SVM_RBF,1.0,0.8598010660730713,0.7196088956842792,0.09657092487520919,0.043917210072411325,0.06270447842921681,0.06256678013148448,0.0011391932712413151,0.002128759785046155,0.012854700661117885
SVM_Linear,0.8598010660730713,1.0,0.878509747795463,0.2233702200529618,0.10716988494844541,0.12703727955948774,0.1130206405291444,0.0011001768314802642,0.005170359232599175,0.021259205770599126
LogisticRegression,0.7196088956842792,0.878509747795463,1.0,0.2236570537603515,0.13234749608732235,0.11355962533220754,0.09878844591222934,0.0015124986294252382,0.0041846172708112075,0.022452108975850066
KNN,0.09657092487520919,0.2233702200529618,0.2236570537603515,1.0,0.7109234931494075,0.6224947072889424,0.5589841474308707,0.04503253915905091,0.05009349100177123,0.12053186126217191
ExtraTrees,0.043917210072411325,0.10716988494844541,0.13234749608732235,0.7109234931494075,1.0,0.8078079891746722,0.7097184133195465,0.09042908553062656,0.041994102714574225,0.13442771419373392
RandomForest,0.06270447842921681,0.12703727955948774,0.11355962533220754,0.6224947072889424,0.8078079891746722,1.0,0.7975512642568479,0.15650981894752472,0.016774956153849278,0.1556663557584487
GradientBoosting,0.06256678013148448,0.1130206405291444,0.09878844591222934,0.5589841474308707,0.7097184133195465,0.7975512642568479,1.0,0.20455992080476082,0.06229487627883761,0.22469682127260904
NaiveBayes,0.0011391932712413151,0.0011001768314802642,0.0015124986294252382,0.04503253915905091,0.09042908553062656,0.15650981894752472,0.20455992080476082,1.0,0.9907356663487129,0.7684827766445466
XGBoost,0.002128759785046155,0.005170359232599175,0.0041846172708112075,0.05009349100177123,0.041994102714574225,0.016774956153849278,0.06229487627883761,0.9907356663487129,1.0,0.6091495135828255
LightGBM,0.012854700661117885,0.021259205770599126,0.022452108975850066,0.12053186126217191,0.13442771419373392,0.1556663557584487,0.22469682127260904,0.7684827766445466,0.6091495135828255,1.0
