,Post1_Morph_Compacity,Post1_Morph_Compactness1,Post1_Morph_Compactness2,Post1_Morph_SphericalDisproportion,Post1_Morph_Sphericity,Post1_Morph_Asphericity,Post2_Morph_Compacity,Post2_Morph_Compactness1,Post2_Morph_Compactness2,Post2_Morph_SphericalDisproportion,Post2_Morph_Sphericity,Post2_Morph_Asphericity
Post1_Morph_Compacity,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.9999750482400692,-0.9999750482400692,-0.9999750482400692,0.9999750482400692,-0.9999750482400692,0.9999750482400692
Post1_Morph_Compactness1,-1.0,1.0,1.0,-1.0,1.0,-1.0,-0.9999750482400692,0.9999750482400692,0.9999750482400692,-0.9999750482400692,0.9999750482400692,-0.9999750482400692
Post1_Morph_Compactness2,-1.0,1.0,1.0,-1.0,1.0,-1.0,-0.9999750482400692,0.9999750482400692,0.9999750482400692,-0.9999750482400692,0.9999750482400692,-0.9999750482400692
Post1_Morph_SphericalDisproportion,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.9999750482400692,-0.9999750482400692,-0.9999750482400692,0.9999750482400692,-0.9999750482400692,0.9999750482400692
Post1_Morph_Sphericity,-1.0,1.0,1.0,-1.0,1.0,-1.0,-0.9999750482400692,0.9999750482400692,0.9999750482400692,-0.9999750482400692,0.9999750482400692,-0.9999750482400692
Post1_Morph_Asphericity,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.9999750482400692,-0.9999750482400692,-0.9999750482400692,0.9999750482400692,-0.9999750482400692,0.9999750482400692
Post2_Morph_Compacity,0.9999750482400692,-0.9999750482400692,-0.9999750482400692,0.9999750482400692,-0.9999750482400692,0.9999750482400692,1.0,-1.0,-1.0,1.0,-1.0,1.0
Post2_Morph_Compactness1,-0.9999750482400692,0.9999750482400692,0.9999750482400692,-0.9999750482400692,0.9999750482400692,-0.9999750482400692,-1.0,1.0,1.0,-1.0,1.0,-1.0
Post2_Morph_Compactness2,-0.9999750482400692,0.9999750482400692,0.9999750482400692,-0.9999750482400692,0.9999750482400692,-0.9999750482400692,-1.0,1.0,1.0,-1.0,1.0,-1.0
Post2_Morph_SphericalDisproportion,0.9999750482400692,-0.9999750482400692,-0.9999750482400692,0.9999750482400692,-0.9999750482400692,0.9999750482400692,1.0,-1.0,-1.0,1.0,-1.0,1.0
Post2_Morph_Sphericity,-0.9999750482400692,0.9999750482400692,0.9999750482400692,-0.9999750482400692,0.9999750482400692,-0.9999750482400692,-1.0,1.0,1.0,-1.0,1.0,-1.0
Post2_Morph_Asphericity,0.9999750482400692,-0.9999750482400692,-0.9999750482400692,0.9999750482400692,-0.9999750482400692,0.9999750482400692,1.0,-1.0,-1.0,1.0,-1.0,1.0
