,Morph_Compacity,Morph_Compactness1,Morph_Compactness2,Morph_SphericalDisproportion,Morph_Sphericity,Morph_Asphericity,IB_MaximumIntensity,IB_IntensityRange,IH_IntensityHistogramMode_Intensity,IH_IntensityHistogramRange_Intensity,IH_IntensityHistogramEntropyLog10_Intensity,IH_IntensityHistogramEntropyLog2_Intensity
Morph_Compacity,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.1667784699546962,0.18373611503850837,0.1357804748444773,0.18367160538480973,0.06465997770345597,0.06465997770345597
Morph_Compactness1,-1.0,1.0,1.0,-1.0,1.0,-1.0,-0.1667784699546962,-0.18373611503850837,-0.1357804748444773,-0.18367160538480973,-0.06465997770345597,-0.06465997770345597
Morph_Compactness2,-1.0,1.0,1.0,-1.0,1.0,-1.0,-0.1667784699546962,-0.18373611503850837,-0.1357804748444773,-0.18367160538480973,-0.06465997770345597,-0.06465997770345597
Morph_SphericalDisproportion,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.1667784699546962,0.18373611503850837,0.1357804748444773,0.18367160538480973,0.06465997770345597,0.06465997770345597
Morph_Sphericity,-1.0,1.0,1.0,-1.0,1.0,-1.0,-0.1667784699546962,-0.18373611503850837,-0.1357804748444773,-0.18367160538480973,-0.06465997770345597,-0.06465997770345597
Morph_Asphericity,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.1667784699546962,0.18373611503850837,0.1357804748444773,0.18367160538480973,0.06465997770345597,0.06465997770345597
IB_MaximumIntensity,0.1667784699546962,-0.1667784699546962,-0.1667784699546962,0.1667784699546962,-0.1667784699546962,0.1667784699546962,1.0,0.9851188645662655,0.5849057769233121,0.9852111526050984,0.8848169853877595,0.8848169853877595
IB_IntensityRange,0.18373611503850837,-0.18373611503850837,-0.18373611503850837,0.18373611503850837,-0.18373611503850837,0.18373611503850837,0.9851188645662655,1.0,0.5634525695613366,0.9990269397195185,0.8922897721851276,0.8922897721851276
IH_IntensityHistogramMode_Intensity,0.1357804748444773,-0.1357804748444773,-0.1357804748444773,0.1357804748444773,-0.1357804748444773,0.1357804748444773,0.5849057769233121,0.5634525695613366,1.0,0.5615708852761033,0.608814057554962,0.608814057554962
IH_IntensityHistogramRange_Intensity,0.18367160538480973,-0.18367160538480973,-0.18367160538480973,0.18367160538480973,-0.18367160538480973,0.18367160538480973,0.9852111526050984,0.9990269397195185,0.5615708852761033,1.0,0.8926770892209986,0.8926770892209986
IH_IntensityHistogramEntropyLog10_Intensity,0.06465997770345597,-0.06465997770345597,-0.06465997770345597,0.06465997770345597,-0.06465997770345597,0.06465997770345597,0.8848169853877595,0.8922897721851276,0.608814057554962,0.8926770892209986,1.0,1.0
IH_IntensityHistogramEntropyLog2_Intensity,0.06465997770345597,-0.06465997770345597,-0.06465997770345597,0.06465997770345597,-0.06465997770345597,0.06465997770345597,0.8848169853877595,0.8922897721851276,0.608814057554962,0.8926770892209986,1.0,1.0
