,LogisticRegression,SVM_Linear,SVM_RBF,KNN,LightGBM,ExtraTrees,RandomForest,XGBoost,NaiveBayes,GradientBoosting
LogisticRegression,1.0,0.02411080799062678,0.003335636664153218,0.06890636145926052,0.2192698651493974,0.0031779579656908076,0.0005201501327828825,0.007468105177032733,0.0601825599292069,0.0009940846174539954
SVM_Linear,0.02411080799062678,1.0,0.442270956746892,0.7914598299646745,0.9190301709918512,0.06128434490476224,0.022330122267844272,0.13261790359367395,0.48031409572920836,0.06491686100780586
SVM_RBF,0.003335636664153218,0.442270956746892,1.0,0.6727358611484142,0.671179430421835,0.20017649076500155,0.030687306978565636,0.26346541064077444,0.7677088728118991,0.1867214200116616
KNN,0.06890636145926052,0.7914598299646745,0.6727358611484142,1.0,0.9335882596524254,0.12291004309498271,0.031428771984047164,0.20284840057275433,0.6030480340612365,0.1319387960534445
LightGBM,0.2192698651493974,0.9190301709918512,0.671179430421835,0.9335882596524254,1.0,0.15987753969848528,0.02611175243065815,0.07603682535457124,0.5973401033737077,0.07703543104444
ExtraTrees,0.0031779579656908076,0.06128434490476224,0.20017649076500155,0.12291004309498271,0.15987753969848528,1.0,0.33486100851550926,0.9863638465849242,0.6393652621485025,0.9696868152007216
RandomForest,0.0005201501327828825,0.022330122267844272,0.030687306978565636,0.031428771984047164,0.02611175243065815,0.33486100851550926,1.0,0.21247153688926979,0.28641709563633644,0.20441519846829004
XGBoost,0.007468105177032733,0.13261790359367395,0.26346541064077444,0.20284840057275433,0.07603682535457124,0.9863638465849242,0.21247153688926979,1.0,0.6795297267864979,0.9292353204432289
NaiveBayes,0.0601825599292069,0.48031409572920836,0.7677088728118991,0.6030480340612365,0.5973401033737077,0.6393652621485025,0.28641709563633644,0.6795297267864979,1.0,0.6284897593753483
GradientBoosting,0.0009940846174539954,0.06491686100780586,0.1867214200116616,0.1319387960534445,0.07703543104444,0.9696868152007216,0.20441519846829004,0.9292353204432289,0.6284897593753483,1.0
