Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
LogisticRegression,0.786 ± 0.105,0.869 ± 0.057,0.689 ± 0.093,0.722 ± 0.069,0.782 ± 0.129,0.668 ± 0.218,0.691 ± 0.089,0.777 ± 0.146,12.800 ± 4.604
SVM_Linear,0.764 ± 0.108,0.854 ± 0.056,0.617 ± 0.095,0.630 ± 0.150,0.678 ± 0.185,0.750 ± 0.197,0.674 ± 0.065,0.509 ± 0.354,12.800 ± 4.604
SVM_RBF,0.746 ± 0.105,0.833 ± 0.086,0.643 ± 0.099,0.686 ± 0.082,0.720 ± 0.197,0.729 ± 0.243,0.677 ± 0.098,0.644 ± 0.246,12.800 ± 4.604
KNN,0.732 ± 0.110,0.790 ± 0.113,0.634 ± 0.062,0.657 ± 0.076,0.693 ± 0.183,0.730 ± 0.196,0.675 ± 0.074,0.584 ± 0.241,12.800 ± 4.604
LightGBM,0.719 ± 0.204,0.785 ± 0.169,0.626 ± 0.190,0.642 ± 0.211,0.693 ± 0.241,0.654 ± 0.235,0.651 ± 0.184,0.630 ± 0.301,12.800 ± 4.604
ExtraTrees,0.715 ± 0.163,0.814 ± 0.129,0.601 ± 0.157,0.641 ± 0.148,0.696 ± 0.239,0.605 ± 0.281,0.603 ± 0.180,0.677 ± 0.217,12.800 ± 4.604
RandomForest,0.711 ± 0.205,0.794 ± 0.182,0.627 ± 0.162,0.658 ± 0.159,0.702 ± 0.215,0.671 ± 0.265,0.649 ± 0.165,0.645 ± 0.229,12.800 ± 4.604
XGBoost,0.708 ± 0.182,0.755 ± 0.192,0.590 ± 0.118,0.624 ± 0.122,0.666 ± 0.219,0.671 ± 0.265,0.623 ± 0.137,0.576 ± 0.244,12.800 ± 4.604
NaiveBayes,0.692 ± 0.091,0.785 ± 0.095,0.584 ± 0.074,0.588 ± 0.062,0.616 ± 0.155,0.771 ± 0.238,0.655 ± 0.104,0.404 ± 0.236,12.800 ± 4.604
GradientBoosting,0.691 ± 0.173,0.745 ± 0.161,0.606 ± 0.104,0.624 ± 0.115,0.647 ± 0.180,0.703 ± 0.227,0.649 ± 0.121,0.546 ± 0.178,12.800 ± 4.604
