Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,Balanced_Accuracy,Youden_Index,TP,FP,TN,FN
0.01,1.0,0.0,0.5575221238938053,,0.5575221238938053,0.5,0.0,63,50,0,0
0.02,1.0,0.0,0.5575221238938053,,0.5575221238938053,0.5,0.0,63,50,0,0
0.03,1.0,0.0,0.5575221238938053,,0.5575221238938053,0.5,0.0,63,50,0,0
0.04,1.0,0.0,0.5575221238938053,,0.5575221238938053,0.5,0.0,63,50,0,0
0.05,1.0,0.0,0.5575221238938053,,0.5575221238938053,0.5,0.0,63,50,0,0
0.060000000000000005,1.0,0.02,0.5625,1.0,0.5663716814159292,0.51,0.020000000000000018,63,49,1,0
0.06999999999999999,1.0,0.02,0.5625,1.0,0.5663716814159292,0.51,0.020000000000000018,63,49,1,0
0.08,1.0,0.02,0.5625,1.0,0.5663716814159292,0.51,0.020000000000000018,63,49,1,0
0.09,1.0,0.02,0.5625,1.0,0.5663716814159292,0.51,0.020000000000000018,63,49,1,0
0.09999999999999999,1.0,0.02,0.5625,1.0,0.5663716814159292,0.51,0.020000000000000018,63,49,1,0
0.11,1.0,0.02,0.5625,1.0,0.5663716814159292,0.51,0.020000000000000018,63,49,1,0
0.12,0.9841269841269841,0.06,0.5688073394495413,0.75,0.5752212389380531,0.522063492063492,0.044126984126984015,62,47,3,1
0.13,0.9841269841269841,0.06,0.5688073394495413,0.75,0.5752212389380531,0.522063492063492,0.044126984126984015,62,47,3,1
0.14,0.9841269841269841,0.06,0.5688073394495413,0.75,0.5752212389380531,0.522063492063492,0.044126984126984015,62,47,3,1
0.15000000000000002,0.9841269841269841,0.08,0.5740740740740741,0.8,0.584070796460177,0.532063492063492,0.06412698412698403,62,46,4,1
0.16,0.9841269841269841,0.08,0.5740740740740741,0.8,0.584070796460177,0.532063492063492,0.06412698412698403,62,46,4,1
0.17,0.9841269841269841,0.08,0.5740740740740741,0.8,0.584070796460177,0.532063492063492,0.06412698412698403,62,46,4,1
0.18000000000000002,0.9682539682539683,0.12,0.580952380952381,0.75,0.5929203539823009,0.5441269841269841,0.08825396825396825,61,44,6,2
0.19,0.9523809523809523,0.14,0.5825242718446602,0.7,0.5929203539823009,0.5461904761904761,0.09238095238095223,60,43,7,3
0.2,0.9365079365079365,0.14,0.5784313725490197,0.6363636363636364,0.584070796460177,0.5382539682539682,0.07650793650793641,59,43,7,4
0.21000000000000002,0.9365079365079365,0.14,0.5784313725490197,0.6363636363636364,0.584070796460177,0.5382539682539682,0.07650793650793641,59,43,7,4
0.22,0.9365079365079365,0.16,0.5841584158415841,0.6666666666666666,0.5929203539823009,0.5482539682539682,0.09650793650793643,59,42,8,4
0.23,0.9206349206349206,0.16,0.58,0.6153846153846154,0.584070796460177,0.5403174603174603,0.08063492063492061,58,42,8,5
0.24000000000000002,0.9206349206349206,0.18,0.5858585858585859,0.6428571428571429,0.5929203539823009,0.5503174603174603,0.10063492063492063,58,41,9,5
0.25,0.9206349206349206,0.2,0.5918367346938775,0.6666666666666666,0.6017699115044248,0.5603174603174603,0.12063492063492065,58,40,10,5
0.26,0.9206349206349206,0.22,0.5979381443298969,0.6875,0.6106194690265486,0.5703174603174603,0.14063492063492067,58,39,11,5
0.27,0.9047619047619048,0.22,0.59375,0.6470588235294118,0.6017699115044248,0.5623809523809524,0.12476190476190485,57,39,11,6
0.28,0.9047619047619048,0.26,0.6063829787234043,0.6842105263157895,0.6194690265486725,0.5823809523809524,0.1647619047619049,57,37,13,6
0.29000000000000004,0.8888888888888888,0.28,0.6086956521739131,0.6666666666666666,0.6194690265486725,0.5844444444444444,0.16888888888888887,56,36,14,7
0.3,0.8888888888888888,0.34,0.6292134831460674,0.7083333333333334,0.6460176991150443,0.6144444444444445,0.22888888888888892,56,33,17,7
0.31,0.873015873015873,0.34,0.625,0.68,0.6371681415929203,0.6065079365079366,0.2130158730158731,55,33,17,8
0.32,0.873015873015873,0.36,0.632183908045977,0.6923076923076923,0.6460176991150443,0.6165079365079364,0.2330158730158729,55,32,18,8
0.33,0.873015873015873,0.38,0.6395348837209303,0.7037037037037037,0.6548672566371682,0.6265079365079365,0.2530158730158729,55,31,19,8
0.34,0.8571428571428571,0.38,0.6352941176470588,0.6785714285714286,0.6460176991150443,0.6185714285714285,0.2371428571428571,54,31,19,9
0.35000000000000003,0.8571428571428571,0.42,0.6506024096385542,0.7,0.6637168141592921,0.6385714285714286,0.27714285714285714,54,29,21,9
0.36000000000000004,0.8571428571428571,0.44,0.6585365853658537,0.7096774193548387,0.672566371681416,0.6485714285714286,0.29714285714285715,54,28,22,9
0.37,0.8571428571428571,0.44,0.6585365853658537,0.7096774193548387,0.672566371681416,0.6485714285714286,0.29714285714285715,54,28,22,9
0.38,0.8412698412698413,0.46,0.6625,0.696969696969697,0.672566371681416,0.6506349206349207,0.30126984126984135,53,27,23,10
0.39,0.8095238095238095,0.46,0.6538461538461539,0.6571428571428571,0.6548672566371682,0.6347619047619047,0.2695238095238095,51,27,23,12
0.4,0.8095238095238095,0.48,0.6623376623376623,0.6666666666666666,0.6637168141592921,0.6447619047619048,0.2895238095238095,51,26,24,12
0.41000000000000003,0.8095238095238095,0.5,0.6710526315789473,0.6756756756756757,0.672566371681416,0.6547619047619048,0.30952380952380953,51,25,25,12
0.42000000000000004,0.7936507936507936,0.52,0.6756756756756757,0.6666666666666666,0.672566371681416,0.6568253968253968,0.3136507936507935,50,24,26,13
0.43,0.7619047619047619,0.54,0.676056338028169,0.6428571428571429,0.6637168141592921,0.650952380952381,0.3019047619047619,48,23,27,15
0.44,0.746031746031746,0.54,0.6714285714285714,0.627906976744186,0.6548672566371682,0.643015873015873,0.2860317460317461,47,23,27,16
0.45,0.746031746031746,0.54,0.6714285714285714,0.627906976744186,0.6548672566371682,0.643015873015873,0.2860317460317461,47,23,27,16
0.46,0.7301587301587301,0.54,0.6666666666666666,0.6136363636363636,0.6460176991150443,0.6350793650793651,0.27015873015873026,46,23,27,17
0.47000000000000003,0.6984126984126984,0.62,0.6984126984126984,0.62,0.6637168141592921,0.6592063492063491,0.31841269841269826,44,19,31,19
0.48000000000000004,0.6984126984126984,0.62,0.6984126984126984,0.62,0.6637168141592921,0.6592063492063491,0.31841269841269826,44,19,31,19
0.49,0.6825396825396826,0.64,0.7049180327868853,0.6153846153846154,0.6637168141592921,0.6612698412698412,0.32253968253968246,43,18,32,20
0.5,0.6825396825396826,0.66,0.7166666666666667,0.6226415094339622,0.672566371681416,0.6712698412698412,0.3425396825396825,43,17,33,20
0.51,0.6666666666666666,0.66,0.711864406779661,0.6111111111111112,0.6637168141592921,0.6633333333333333,0.32666666666666666,42,17,33,21
0.52,0.6666666666666666,0.68,0.7241379310344828,0.6181818181818182,0.672566371681416,0.6733333333333333,0.3466666666666667,42,16,34,21
0.53,0.6349206349206349,0.7,0.7272727272727273,0.603448275862069,0.6637168141592921,0.6674603174603174,0.33492063492063484,40,15,35,23
0.54,0.6190476190476191,0.72,0.7358490566037735,0.6,0.6637168141592921,0.6695238095238095,0.33904761904761904,39,14,36,24
0.55,0.6190476190476191,0.74,0.75,0.6065573770491803,0.672566371681416,0.6795238095238095,0.35904761904761906,39,13,37,24
0.56,0.6031746031746031,0.74,0.7450980392156863,0.5967741935483871,0.6637168141592921,0.6715873015873015,0.343174603174603,38,13,37,25
0.5700000000000001,0.5714285714285714,0.76,0.75,0.5846153846153846,0.6548672566371682,0.6657142857142857,0.3314285714285714,36,12,38,27
0.5800000000000001,0.5555555555555556,0.76,0.7446808510638298,0.5757575757575758,0.6460176991150443,0.6577777777777778,0.3155555555555556,35,12,38,28
0.59,0.5555555555555556,0.78,0.7608695652173914,0.582089552238806,0.6548672566371682,0.6677777777777778,0.3355555555555556,35,11,39,28
0.6,0.5555555555555556,0.8,0.7777777777777778,0.5882352941176471,0.6637168141592921,0.6777777777777778,0.3555555555555556,35,10,40,28
0.61,0.5238095238095238,0.84,0.8048780487804879,0.5833333333333334,0.6637168141592921,0.6819047619047619,0.3638095238095238,33,8,42,30
0.62,0.5238095238095238,0.84,0.8048780487804879,0.5833333333333334,0.6637168141592921,0.6819047619047619,0.3638095238095238,33,8,42,30
0.63,0.49206349206349204,0.84,0.7948717948717948,0.5675675675675675,0.6460176991150443,0.666031746031746,0.33206349206349195,31,8,42,32
0.64,0.49206349206349204,0.84,0.7948717948717948,0.5675675675675675,0.6460176991150443,0.666031746031746,0.33206349206349195,31,8,42,32
0.65,0.49206349206349204,0.86,0.8157894736842105,0.5733333333333334,0.6548672566371682,0.676031746031746,0.35206349206349197,31,7,43,32
0.66,0.4603174603174603,0.86,0.8055555555555556,0.5584415584415584,0.6371681415929203,0.6601587301587302,0.32031746031746033,29,7,43,34
