Metric,Value
ROC-AUC,0.7215625
PR-AUC,0.776875828736354
Balanced Acc.,0.6825
Sensitivity,0.625
Specificity,0.74
PPV,0.7547169811320755
NPV,0.6065573770491803
Kappa,0.3564235581324382
