,ExtraTrees,SVM_RBF,XGBoost,NaiveBayes,RandomForest,KNN,LogisticRegression,SVM_Linear,GradientBoosting,LightGBM
ExtraTrees,1.0,0.6656661809026727,0.7484785225731488,0.09134979721640663,0.41871171215575176,0.052619457526526796,0.1908973330100875,0.024481696984642805,0.009202185551473865,0.14331413973329504
SVM_RBF,0.6656661809026727,1.0,0.5222463446605481,0.07255278900951481,0.8017202313701899,0.06915566878018935,0.23751156476413904,0.03397396062649605,0.047041651687242586,0.28529953969129407
XGBoost,0.7484785225731488,0.5222463446605481,1.0,0.07183928098854696,0.21848473214234088,0.0469561305286956,0.17926209269860016,0.03851912507345491,0.007952753994911499,0.06505984406842584
NaiveBayes,0.09134979721640663,0.07255278900951481,0.07183928098854696,1.0,0.2139962093901998,0.7029992846898852,0.26252569245477764,0.5086272969738311,0.9393995075547359,0.6493460880413817
RandomForest,0.41871171215575176,0.8017202313701899,0.21848473214234088,0.2139962093901998,1.0,0.18179329285272905,0.5838113674889689,0.21865158691989195,0.039410529952454976,0.2042778974996009
KNN,0.052619457526526796,0.06915566878018935,0.0469561305286956,0.7029992846898852,0.18179329285272905,1.0,0.2600040733858875,0.6565692178943336,0.6494009657902802,0.8354533000410208
LogisticRegression,0.1908973330100875,0.23751156476413904,0.17926209269860016,0.26252569245477764,0.5838113674889689,0.2600040733858875,1.0,0.08693034673221578,0.1423116184666214,0.5533363099851324
SVM_Linear,0.024481696984642805,0.03397396062649605,0.03851912507345491,0.5086272969738311,0.21865158691989195,0.6565692178943336,0.08693034673221578,1.0,0.36449894372276403,0.9317309564445855
GradientBoosting,0.009202185551473865,0.047041651687242586,0.007952753994911499,0.9393995075547359,0.039410529952454976,0.6494009657902802,0.1423116184666214,0.36449894372276403,1.0,0.4140215191649105
LightGBM,0.14331413973329504,0.28529953969129407,0.06505984406842584,0.6493460880413817,0.2042778974996009,0.8354533000410208,0.5533363099851324,0.9317309564445855,0.4140215191649105,1.0
