,ExtraTrees,SVM_RBF,XGBoost,NaiveBayes,RandomForest,KNN,LogisticRegression,SVM_Linear,GradientBoosting,LightGBM
ExtraTrees,0.0,0.4321035138993012,-0.3206461994805602,1.6883201084741541,0.8086583142984194,1.9380308610640475,1.3079291745152493,2.2494843566551745,2.604449967062665,1.463560251562172
SVM_RBF,-0.4321035138993012,0.0,-0.6398865715796263,1.7956337223008991,0.2511214255386551,1.8174014311162137,1.1812295010412133,2.120380609190899,1.9859250057668618,1.0684899980984204
XGBoost,0.3206461994805602,0.6398865715796263,0.0,1.8001352741913992,1.2305673254266205,1.9866956828717521,1.343030516421908,2.0692874025296333,2.6540690975279713,1.844846685134354
NaiveBayes,-1.6883201084741541,-1.7956337223008991,-1.8001352741913992,0.0,-1.242651700667319,-0.3812748888929667,-1.1204414438596424,-0.6609766362049379,0.07602462426729574,-0.45467080421906
RandomForest,-0.8086583142984194,-0.2511214255386551,-1.2305673254266205,1.242651700667319,0.0,1.3352538032671266,0.5478260241954207,1.2301215617618613,2.0598746057328006,1.2694576175215508
KNN,-1.9380308610640475,-1.8174014311162137,-1.9866956828717521,0.3812748888929667,-1.3352538032671266,0.0,-1.1263815013905507,-0.44465482871855616,0.4545945368828814,-0.20771270095287453
LogisticRegression,-1.3079291745152493,-1.1812295010412133,-1.343030516421908,1.1204414438596424,-0.5478260241954207,1.1263815013905507,0.0,1.7118172791063473,1.4672369136637509,0.5927681734794565
SVM_Linear,-2.2494843566551745,-2.120380609190899,-2.0692874025296333,0.6609766362049379,-1.2301215617618613,0.44465482871855616,-1.7118172791063473,0.0,0.9068257629959072,0.085667225670284
GradientBoosting,-2.604449967062665,-1.9859250057668618,-2.6540690975279713,-0.07602462426729574,-2.0598746057328006,-0.4545945368828814,-1.4672369136637509,-0.9068257629959072,0.0,-0.8168371144029888
LightGBM,-1.463560251562172,-1.0684899980984204,-1.844846685134354,0.45467080421906,-1.2694576175215508,0.20771270095287453,-0.5927681734794565,-0.085667225670284,0.8168371144029888,0.0
