Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
ExtraTrees,0.760 ± 0.096,0.817 ± 0.024,0.664 ± 0.072,0.683 ± 0.068,0.697 ± 0.116,0.695 ± 0.245,0.664 ± 0.110,0.671 ± 0.117,9.600 ± 4.336
SVM_RBF,0.745 ± 0.144,0.811 ± 0.088,0.632 ± 0.060,0.645 ± 0.059,0.641 ± 0.125,0.745 ± 0.228,0.662 ± 0.103,0.544 ± 0.128,9.600 ± 4.336
XGBoost,0.727 ± 0.079,0.771 ± 0.097,0.638 ± 0.047,0.659 ± 0.039,0.662 ± 0.140,0.745 ± 0.218,0.668 ± 0.085,0.573 ± 0.164,9.600 ± 4.336
NaiveBayes,0.718 ± 0.098,0.779 ± 0.062,0.620 ± 0.104,0.635 ± 0.090,0.626 ± 0.170,0.825 ± 0.152,0.687 ± 0.094,0.444 ± 0.245,9.600 ± 4.336
RandomForest,0.703 ± 0.122,0.775 ± 0.056,0.645 ± 0.094,0.663 ± 0.098,0.665 ± 0.107,0.696 ± 0.244,0.655 ± 0.120,0.629 ± 0.068,9.600 ± 4.336
KNN,0.698 ± 0.141,0.723 ± 0.043,0.610 ± 0.066,0.623 ± 0.070,0.623 ± 0.154,0.772 ± 0.136,0.667 ± 0.070,0.473 ± 0.180,9.600 ± 4.336
LogisticRegression,0.696 ± 0.088,0.739 ± 0.108,0.647 ± 0.119,0.661 ± 0.107,0.665 ± 0.105,0.694 ± 0.295,0.645 ± 0.163,0.629 ± 0.130,9.600 ± 4.336
SVM_Linear,0.689 ± 0.069,0.725 ± 0.122,0.590 ± 0.094,0.614 ± 0.028,0.627 ± 0.156,0.720 ± 0.258,0.627 ± 0.119,0.509 ± 0.227,9.600 ± 4.336
GradientBoosting,0.681 ± 0.124,0.704 ± 0.069,0.600 ± 0.090,0.609 ± 0.113,0.613 ± 0.121,0.789 ± 0.233,0.661 ± 0.086,0.429 ± 0.273,9.600 ± 4.336
LightGBM,0.679 ± 0.073,0.723 ± 0.111,0.613 ± 0.123,0.628 ± 0.089,0.654 ± 0.190,0.631 ± 0.238,0.605 ± 0.170,0.624 ± 0.173,9.600 ± 4.336
