Feature_Family,N_Features,Percentage
Morphological,128,22.107081174438687
IB,96,16.580310880829014
HI,120,20.72538860103627
GLCM,96,16.580310880829014
GLRLM,56,9.671848013816925
GLSZM,63,10.880829015544041
NGTDM,20,3.454231433506045
