Model,FS_METHOD,N_Outer_Folds,Mean_Selected_Features,Std_Selected_Features,Min_Selected_Features,Max_Selected_Features,Selected_Features_Per_Fold
LogisticRegression,elasticnet_then_mrmr,5,10.4,4.979959839195493,6,18,"[np.int64(10), np.int64(18), np.int64(6), np.int64(6), np.int64(12)]"
SVM_RBF,elasticnet_then_mrmr,5,10.4,4.979959839195493,6,18,"[np.int64(10), np.int64(18), np.int64(6), np.int64(6), np.int64(12)]"
SVM_Linear,elasticnet_then_mrmr,5,10.4,4.979959839195493,6,18,"[np.int64(10), np.int64(18), np.int64(6), np.int64(6), np.int64(12)]"
RandomForest,elasticnet_then_mrmr,5,10.4,4.979959839195493,6,18,"[np.int64(10), np.int64(18), np.int64(6), np.int64(6), np.int64(12)]"
GradientBoosting,elasticnet_then_mrmr,5,10.4,4.979959839195493,6,18,"[np.int64(10), np.int64(18), np.int64(6), np.int64(6), np.int64(12)]"
ExtraTrees,elasticnet_then_mrmr,5,10.4,4.979959839195493,6,18,"[np.int64(10), np.int64(18), np.int64(6), np.int64(6), np.int64(12)]"
KNN,elasticnet_then_mrmr,5,10.4,4.979959839195493,6,18,"[np.int64(10), np.int64(18), np.int64(6), np.int64(6), np.int64(12)]"
NaiveBayes,elasticnet_then_mrmr,5,10.4,4.979959839195493,6,18,"[np.int64(10), np.int64(18), np.int64(6), np.int64(6), np.int64(12)]"
XGBoost,elasticnet_then_mrmr,5,10.4,4.979959839195493,6,18,"[np.int64(10), np.int64(18), np.int64(6), np.int64(6), np.int64(12)]"
LightGBM,elasticnet_then_mrmr,5,10.4,4.979959839195493,6,18,"[np.int64(10), np.int64(18), np.int64(6), np.int64(6), np.int64(12)]"
