Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
LogisticRegression,0.704 ± 0.061,0.767 ± 0.121,0.655 ± 0.052,0.633 ± 0.082,0.652 ± 0.231,0.602 ± 0.185,0.617 ± 0.194,0.665 ± 0.126,6.000 ± 0.000
SVM_RBF,0.704 ± 0.088,0.775 ± 0.127,0.588 ± 0.189,0.627 ± 0.074,0.637 ± 0.227,0.782 ± 0.190,0.652 ± 0.150,0.472 ± 0.314,6.000 ± 0.000
SVM_Linear,0.701 ± 0.074,0.771 ± 0.130,0.594 ± 0.130,0.616 ± 0.071,0.592 ± 0.179,0.806 ± 0.203,0.653 ± 0.149,0.427 ± 0.136,6.000 ± 0.000
RandomForest,0.695 ± 0.098,0.759 ± 0.135,0.631 ± 0.130,0.623 ± 0.134,0.655 ± 0.281,0.590 ± 0.210,0.602 ± 0.227,0.656 ± 0.188,6.000 ± 0.000
NaiveBayes,0.689 ± 0.069,0.770 ± 0.124,0.636 ± 0.086,0.616 ± 0.117,0.655 ± 0.295,0.637 ± 0.219,0.620 ± 0.209,0.594 ± 0.273,6.000 ± 0.000
ExtraTrees,0.688 ± 0.091,0.762 ± 0.125,0.626 ± 0.077,0.625 ± 0.104,0.665 ± 0.264,0.535 ± 0.161,0.578 ± 0.197,0.715 ± 0.135,6.000 ± 0.000
XGBoost,0.686 ± 0.100,0.767 ± 0.115,0.640 ± 0.145,0.647 ± 0.092,0.653 ± 0.231,0.707 ± 0.215,0.644 ± 0.198,0.586 ± 0.201,6.000 ± 0.000
GradientBoosting,0.679 ± 0.110,0.726 ± 0.122,0.641 ± 0.130,0.641 ± 0.100,0.626 ± 0.211,0.707 ± 0.198,0.645 ± 0.195,0.575 ± 0.119,6.000 ± 0.000
LightGBM,0.651 ± 0.107,0.716 ± 0.145,0.613 ± 0.122,0.615 ± 0.096,0.619 ± 0.216,0.680 ± 0.181,0.623 ± 0.169,0.549 ± 0.204,6.000 ± 0.000
KNN,0.629 ± 0.087,0.696 ± 0.119,0.598 ± 0.057,0.587 ± 0.081,0.617 ± 0.239,0.547 ± 0.168,0.565 ± 0.187,0.628 ± 0.138,6.000 ± 0.000
