,LogisticRegression,SVM_RBF,SVM_Linear,RandomForest,NaiveBayes,ExtraTrees,XGBoost,GradientBoosting,LightGBM,KNN
LogisticRegression,1.0,0.3053745498960023,0.15696839027379883,0.2233388466633074,0.14574609533690033,0.050165249808205824,0.401686256439429,0.5374360757172203,0.013929166374314118,0.010776682383446836
SVM_RBF,0.3053745498960023,1.0,0.7254852706257455,0.524929132490087,0.5407228601637055,0.2603914298302177,0.7185724073613053,0.8901672283859939,0.042116100493934196,0.055162313880782084
SVM_Linear,0.15696839027379883,0.7254852706257455,1.0,0.6987557898851866,0.7321731653253364,0.3690055488510079,0.8680958879835259,0.9748172316221574,0.07483163141072384,0.09541085381327978
RandomForest,0.2233388466633074,0.524929132490087,0.6987557898851866,1.0,0.9131845668248342,0.781522439673961,0.8822895169143475,0.6646058729273212,0.11097607991090314,0.10459198355929564
NaiveBayes,0.14574609533690033,0.5407228601637055,0.7321731653253364,0.9131845668248342,1.0,0.6520781424230164,0.9694847160066592,0.827887458985797,0.13825699033264358,0.12627466589768496
ExtraTrees,0.050165249808205824,0.2603914298302177,0.3690055488510079,0.781522439673961,0.6520781424230164,1.0,0.7526586734131038,0.571104120196763,0.14684012057624427,0.17905186293226993
XGBoost,0.401686256439429,0.7185724073613053,0.8680958879835259,0.8822895169143475,0.9694847160066592,0.7526586734131038,1.0,0.8210315790924353,0.10413459557564861,0.19234665733269507
GradientBoosting,0.5374360757172203,0.8901672283859939,0.9748172316221574,0.6646058729273212,0.827887458985797,0.571104120196763,0.8210315790924353,1.0,0.08306992322860432,0.12986691022383082
LightGBM,0.013929166374314118,0.042116100493934196,0.07483163141072384,0.11097607991090314,0.13825699033264358,0.14684012057624427,0.10413459557564861,0.08306992322860432,1.0,0.7799815442070084
KNN,0.010776682383446836,0.055162313880782084,0.09541085381327978,0.10459198355929564,0.12627466589768496,0.17905186293226993,0.19234665733269507,0.12986691022383082,0.7799815442070084,1.0
