,LogisticRegression,SVM_RBF,SVM_Linear,RandomForest,NaiveBayes,ExtraTrees,XGBoost,GradientBoosting,LightGBM,KNN
LogisticRegression,0.0,1.024975919889982,1.4153415085481018,1.2176977651194674,1.4547225204764975,1.9585522200805716,0.8386134574143059,0.6166947636585792,2.45908492474197,2.5498579331518574
SVM_RBF,-1.024975919889982,0.0,0.35113740046316944,0.6357657219706881,0.6117202523262397,1.1254664419255904,0.3603673931324743,0.13809260721797778,2.032371110172351,1.9175955575269419
SVM_Linear,-1.4153415085481018,-0.35113740046316944,0.0,0.38700056471368055,0.34223617239773346,0.8983376822100608,0.16607759233337493,-0.031567161545258064,1.7814949361450176,1.6675209921275158
RandomForest,-1.2176977651194674,-0.6357657219706881,-0.38700056471368055,0.0,-0.1090225976608435,0.2773355826755859,-0.1480674759398551,-0.4335629105951273,1.5938212352247654,1.6229879371776401
NaiveBayes,-1.4547225204764975,-0.6117202523262397,-0.34223617239773346,0.1090225976608435,0.0,0.45087708144990096,-0.03825456514866861,-0.21741177057302472,1.4823131522684179,1.5289587677602259
ExtraTrees,-1.9585522200805716,-1.1254664419255904,-0.8983376822100608,-0.2773355826755859,-0.45087708144990096,0.0,-0.3151356345859792,-0.5664261532009923,1.4507836257608764,1.343680075714941
XGBoost,-0.8386134574143059,-0.3603673931324743,-0.16607759233337493,0.1480674759398551,0.03825456514866861,0.3151356345859792,0.0,-0.2262183759522401,1.6251312497259447,1.3036684315939855
GradientBoosting,-0.6166947636585792,-0.13809260721797778,0.031567161545258064,0.4335629105951273,0.21741177057302472,0.5664261532009923,0.2262183759522401,0.0,1.7331448681089023,1.5146269226696
LightGBM,-2.45908492474197,-2.032371110172351,-1.7814949361450176,-1.5938212352247654,-1.4823131522684179,-1.4507836257608764,-1.6251312497259447,-1.7331448681089023,0.0,-0.2793430855918081
KNN,-2.5498579331518574,-1.9175955575269419,-1.6675209921275158,-1.6229879371776401,-1.5289587677602259,-1.343680075714941,-1.3036684315939855,-1.5146269226696,0.2793430855918081,0.0
