Competitor,Competitor_Mean_AUC,ΔMean_AUC,p_value,p_Bonferroni,Significant_uncorrected,Significant_Bonferroni
KNN,0.6295,+0.0750,1.08e-02,4.85e-01,✓,✗
LightGBM,0.6508,+0.0537,1.39e-02,6.27e-01,✓,✗
GradientBoosting,0.6785,+0.0260,5.37e-01,1.00e+00,✗,✗
XGBoost,0.6858,+0.0187,4.02e-01,1.00e+00,✗,✗
ExtraTrees,0.6881,+0.0164,5.02e-02,1.00e+00,✗,✗
NaiveBayes,0.6893,+0.0152,1.46e-01,1.00e+00,✗,✗
RandomForest,0.6949,+0.0096,2.23e-01,1.00e+00,✗,✗
SVM_Linear,0.7009,+0.0036,1.57e-01,1.00e+00,✗,✗
SVM_RBF,0.7037,+0.0007,3.05e-01,1.00e+00,✗,✗
