All5_Tag,Dataset_A,Dataset_B,Dataset_C,Dataset_D,Dataset_E,Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K,Run_Name,Run_Dir,Experiment_ID,FS_METHOD,FS_N_FEATURES,USE_SMOTE,N_Unique_Selected_Features,Max_Selection_Count,Mean_Selection_Count
ADC_Post1_Post2_Pre_T2,ADC,Post1,Post2,Pre,T2,ExtraTrees,0.761031746031746,0.074115426854727,0.7288888888888888,0.7873761317566375,0.1459666320023654,0.7631305431562956,0.6968487394957983,0.1027858543530916,0.6814159292035398,0.7167063492063492,0.0720895781748727,0.6833333333333333,0.7715416936005172,0.1285994562206173,0.7368421052631579,0.7093650793650793,0.1948857318422427,0.6666666666666666,0.7070021786492375,0.1266553716617076,0.7,0.724047619047619,0.1703045158470962,0.7,8.8,8.8,4.48998886412873,4,8.0,14,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_5_concat_batch/ADC_Post1_Post2_Pre_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,37,3,1.1891891891891893
ADC_Post1_Post2_Pre_T2,ADC,Post1,Post2,Pre,T2,SVM_RBF,0.7447619047619047,0.1176048553012408,0.7079365079365078,0.8091903553048695,0.1448743997630592,0.7862735793033928,0.6274649859943977,0.1395137288376109,0.6194690265486725,0.609484126984127,0.1351226545447765,0.6009523809523809,0.6375124875124876,0.1929786807313056,0.631578947368421,0.7625396825396825,0.2106788748531703,0.7619047619047619,0.6807416879795396,0.1701215178600831,0.6906474820143885,0.4564285714285714,0.2260219923880946,0.44,12.8,12.8,4.308131845707603,8,10.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_5_concat_batch/ADC_Post1_Post2_Pre_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,40,5,1.6
ADC_Post1_Post2_Pre_T2,ADC,Post1,Post2,Pre,T2,SVM_RBF,0.7429365079365079,0.0652988941577979,0.7053968253968255,0.7819643788344093,0.1471481475004294,0.7455213202903659,0.6861344537815126,0.0896023659431638,0.672566371681416,0.6981746031746032,0.0687741345439005,0.6630158730158731,0.7178671328671329,0.1336837437460991,0.6911764705882353,0.7815873015873016,0.1466433019251002,0.746031746031746,0.7269505180575961,0.0888866851131746,0.7175572519083969,0.6147619047619048,0.1642159962489534,0.58,8.8,8.8,4.48998886412873,4,8.0,14,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_5_concat_batch/ADC_Post1_Post2_Pre_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,37,3,1.1891891891891893
ADC_Post1_Post2_Pre_T2,ADC,Post1,Post2,Pre,T2,LogisticRegression,0.7346825396825396,0.0712730228723855,0.7253968253968254,0.7980720317816734,0.1150806326169888,0.7898977766181194,0.6798459383753501,0.0493099126845339,0.672566371681416,0.6948412698412698,0.0468751417231417,0.6671428571428571,0.7243650793650793,0.1294842181943454,0.703125,0.733015873015873,0.0889308291079939,0.7142857142857143,0.7139126984126984,0.0480456001379708,0.7086614173228346,0.6566666666666667,0.1348249894410445,0.62,8.8,8.8,4.48998886412873,4,8.0,14,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_5_concat_batch/ADC_Post1_Post2_Pre_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,37,3,1.1891891891891893
ADC_Post1_Post2_Pre_T2,ADC,Post1,Post2,Pre,T2,SVM_Linear,0.7290476190476192,0.062716191973857,0.7079365079365079,0.7886315342410359,0.1310419388388482,0.7669994975750949,0.6488935574229693,0.0733406193083818,0.6371681415929203,0.6476190476190475,0.0621185766184199,0.623015873015873,0.673202614379085,0.1118045197875304,0.6527777777777778,0.7704761904761904,0.1159343173353085,0.746031746031746,0.7042008757525998,0.0667913262128444,0.6962962962962963,0.5247619047619048,0.1391307644430679,0.5,8.8,8.8,4.48998886412873,4,8.0,14,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_5_concat_batch/ADC_Post1_Post2_Pre_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,37,3,1.1891891891891893
ADC_Post1_Post2_Pre_T2,ADC,Post1,Post2,Pre,T2,RandomForest,0.7232539682539683,0.0944062881439508,0.7263492063492064,0.7577903807790698,0.135470082322845,0.7488718905226006,0.6682773109243698,0.1388095089715829,0.6548672566371682,0.6568253968253968,0.138541833964061,0.6512698412698412,0.68,0.1984383475484962,0.6935483870967742,0.6869841269841269,0.2272301918555343,0.6825396825396826,0.6754197754923708,0.1981020584902702,0.688,0.6266666666666667,0.1258747172566613,0.62,12.8,12.8,4.308131845707603,8,10.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_5_concat_batch/ADC_Post1_Post2_Pre_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,40,5,1.6
ADC_Post1_Post2_Pre_T2,ADC,Post1,Post2,Pre,T2,ExtraTrees,0.7201587301587302,0.0984582587831013,0.7098412698412698,0.7874688355151894,0.1351807461659243,0.7697152092487114,0.6469467787114845,0.1463840099538593,0.6283185840707964,0.6483730158730159,0.1429062085051845,0.6295238095238096,0.6932400932400932,0.1791895196443581,0.6842105263157895,0.6450793650793651,0.2123062008102785,0.6190476190476191,0.653968253968254,0.180627202483402,0.65,0.6516666666666667,0.1565602475442317,0.64,12.8,12.8,4.308131845707603,8,10.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_5_concat_batch/ADC_Post1_Post2_Pre_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,40,5,1.6
ADC_Post1_Post2_Pre_T2,ADC,Post1,Post2,Pre,T2,SVM_Linear,0.7151984126984127,0.1035703338748935,0.727936507936508,0.7718421479183599,0.119760047664164,0.7647268972921895,0.6356582633053222,0.1359997950735844,0.6194690265486725,0.6057936507936508,0.1351957046611723,0.603015873015873,0.6322222222222222,0.1630874945058557,0.6351351351351351,0.7458730158730159,0.1938591125151588,0.746031746031746,0.6811483253588516,0.1695757622558641,0.6861313868613139,0.4657142857142857,0.1459086783012858,0.46,12.8,12.8,4.308131845707603,8,10.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_5_concat_batch/ADC_Post1_Post2_Pre_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,40,5,1.6
ADC_Post1_Post2_Pre_T2,ADC,Post1,Post2,Pre,T2,LogisticRegression,0.7063492063492063,0.116803181117526,0.7234920634920634,0.7738967720539728,0.1176523004451334,0.7616395529384515,0.662563025210084,0.118718027852026,0.6548672566371682,0.6502380952380952,0.1329035969685381,0.6492063492063491,0.6877272727272727,0.1876528455684967,0.6875,0.7038095238095238,0.1781192864956468,0.6984126984126984,0.6858594762768991,0.1585793775878335,0.6929133858267716,0.5966666666666667,0.2017699460056207,0.6,12.8,12.8,4.308131845707603,8,10.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_5_concat_batch/ADC_Post1_Post2_Pre_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,40,5,1.6
ADC_Post1_Post2_Pre_T2,ADC,Post1,Post2,Pre,T2,NaiveBayes,0.6990079365079366,0.0947482442095958,0.6495238095238096,0.7346925009865449,0.1023560466631296,0.6623411504435992,0.6379411764705882,0.1054090729698343,0.6371681415929203,0.6067460317460317,0.1229159860723948,0.6023809523809524,0.6269528201416746,0.1048011072273776,0.6195652173913043,0.9182539682539682,0.0797451218227331,0.9047619047619048,0.7366098954808633,0.0742982701169492,0.7354838709677419,0.2952380952380952,0.1978340769318189,0.3,12.8,12.8,4.308131845707603,8,10.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_5_concat_batch/ADC_Post1_Post2_Pre_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,40,5,1.6
