,SVM_RBF,XGBoost,ExtraTrees,SVM_Linear,LogisticRegression,LightGBM,RandomForest,KNN,GradientBoosting,NaiveBayes
SVM_RBF,1.0,0.6456480155570414,0.9364202751634622,0.3254173406308558,0.7007939905430198,0.09522194536792916,0.7085120413082429,0.35253682454115987,0.013314720990715517,0.01965568581103082
XGBoost,0.6456480155570414,1.0,0.636854357643605,0.9200386565468385,0.7893564907842567,0.08362919213778904,0.8262030059186102,0.7711252234765762,0.05166485748229396,0.10631425406705376
ExtraTrees,0.9364202751634622,0.636854357643605,1.0,0.34278505205049226,0.7687636751435383,0.06210329174224196,0.6501634023531913,0.30009545291854833,0.004610448509612338,0.01659940978559064
SVM_Linear,0.3254173406308558,0.9200386565468385,0.34278505205049226,1.0,0.1435556111857897,0.230250846992206,0.757973778943431,0.7965289255029129,0.06266776379668271,0.04603097281775404
LogisticRegression,0.7007939905430198,0.7893564907842567,0.7687636751435383,0.1435556111857897,1.0,0.1265074479120756,0.8944308741157101,0.46032905020713133,0.016613248383737438,0.01265603741400057
LightGBM,0.09522194536792916,0.08362919213778904,0.06210329174224196,0.230250846992206,0.1265074479120756,1.0,0.09277215781160209,0.33271949454449146,0.8229029814988605,0.6607631221990897
RandomForest,0.7085120413082429,0.8262030059186102,0.6501634023531913,0.757973778943431,0.8944308741157101,0.09277215781160209,1.0,0.5664386523430148,0.011964256992340303,0.04637251689542838
KNN,0.35253682454115987,0.7711252234765762,0.30009545291854833,0.7965289255029129,0.46032905020713133,0.33271949454449146,0.5664386523430148,1.0,0.1259429108479149,0.15704329784066304
GradientBoosting,0.013314720990715517,0.05166485748229396,0.004610448509612338,0.06266776379668271,0.016613248383737438,0.8229029814988605,0.011964256992340303,0.1259429108479149,1.0,0.744151155959371
NaiveBayes,0.01965568581103082,0.10631425406705376,0.01659940978559064,0.04603097281775404,0.01265603741400057,0.6607631221990897,0.04637251689542838,0.15704329784066304,0.744151155959371,1.0
