,SVM_RBF,XGBoost,ExtraTrees,SVM_Linear,LogisticRegression,LightGBM,RandomForest,KNN,GradientBoosting,NaiveBayes
SVM_RBF,0.0,0.4598163930666199,0.07976988638263505,0.9833863198334091,0.38424888309297944,1.668472607020383,0.373855209895105,0.9296799385084528,2.475238547266335,2.3328563534067723
XGBoost,-0.4598163930666199,0.0,-0.4721014778896502,0.10038502686677976,-0.2671463383346191,1.7300060621475002,-0.21957391824775296,0.2909033704748446,1.9459157767814055,1.6149835648056008
ExtraTrees,-0.07976988638263505,0.4721014778896502,0.0,0.948676731233502,0.2939924466788042,1.8655575618570643,0.45353520027343713,1.0362287161006505,2.8330617065448993,2.395462551682435
SVM_Linear,-0.9833863198334091,-0.10038502686677976,-0.948676731233502,0.0,-1.4626776259750087,1.1997129367868973,-0.3081426633273578,0.25784190062077994,1.8615413722378966,1.9951091849393698
LogisticRegression,-0.38424888309297944,0.2671463383346191,-0.2939924466788042,1.4626776259750087,0.0,1.5280205012449055,0.13269970760779942,0.7383051293554419,2.3951570340507278,2.4933041749436584
LightGBM,-1.668472607020383,-1.7300060621475002,-1.8655575618570643,-1.1997129367868973,-1.5280205012449055,0.0,-1.6809524146393298,-0.9686507069072153,0.22381278477038144,0.4388598062289201
RandomForest,-0.373855209895105,0.21957391824775296,-0.45353520027343713,0.3081426633273578,-0.13269970760779942,1.6809524146393298,0.0,0.5733043326415328,2.5131968057130556,1.991986702594261
KNN,-0.9296799385084528,-0.2909033704748446,-1.0362287161006505,-0.25784190062077994,-0.7383051293554419,0.9686507069072153,-0.5733043326415328,0.0,1.5302982921098776,1.415085947527434
GradientBoosting,-2.475238547266335,-1.9459157767814055,-2.8330617065448993,-1.8615413722378966,-2.3951570340507278,-0.22381278477038144,-2.5131968057130556,-1.5302982921098776,0.0,0.32636111242001814
NaiveBayes,-2.3328563534067723,-1.6149835648056008,-2.395462551682435,-1.9951091849393698,-2.4933041749436584,-0.4388598062289201,-1.991986702594261,-1.415085947527434,-0.32636111242001814,0.0
