Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_RBF,0.804 ± 0.037,0.839 ± 0.094,0.727 ± 0.099,0.740 ± 0.083,0.784 ± 0.088,0.734 ± 0.176,0.743 ± 0.100,0.747 ± 0.096,8.400 ± 5.367
SVM_Linear,0.799 ± 0.036,0.847 ± 0.084,0.704 ± 0.077,0.716 ± 0.064,0.760 ± 0.084,0.711 ± 0.138,0.723 ± 0.071,0.722 ± 0.065,8.400 ± 5.367
LogisticRegression,0.794 ± 0.050,0.837 ± 0.113,0.718 ± 0.089,0.723 ± 0.078,0.783 ± 0.099,0.676 ± 0.198,0.712 ± 0.129,0.770 ± 0.085,8.400 ± 5.367
GradientBoosting,0.774 ± 0.083,0.796 ± 0.164,0.704 ± 0.082,0.698 ± 0.090,0.738 ± 0.149,0.713 ± 0.174,0.715 ± 0.129,0.684 ± 0.150,8.400 ± 5.367
RandomForest,0.774 ± 0.072,0.791 ± 0.160,0.686 ± 0.095,0.687 ± 0.081,0.740 ± 0.127,0.683 ± 0.194,0.692 ± 0.132,0.692 ± 0.147,8.400 ± 5.367
LightGBM,0.753 ± 0.046,0.801 ± 0.151,0.678 ± 0.072,0.684 ± 0.096,0.765 ± 0.120,0.687 ± 0.224,0.691 ± 0.077,0.680 ± 0.256,8.400 ± 5.367
NaiveBayes,0.749 ± 0.050,0.823 ± 0.071,0.581 ± 0.143,0.570 ± 0.165,0.635 ± 0.169,0.770 ± 0.188,0.666 ± 0.112,0.370 ± 0.378,8.400 ± 5.367
ExtraTrees,0.743 ± 0.102,0.791 ± 0.169,0.636 ± 0.084,0.635 ± 0.098,0.708 ± 0.157,0.624 ± 0.129,0.649 ± 0.100,0.647 ± 0.227,8.400 ± 5.367
XGBoost,0.733 ± 0.084,0.806 ± 0.143,0.663 ± 0.086,0.674 ± 0.065,0.726 ± 0.165,0.675 ± 0.138,0.680 ± 0.105,0.674 ± 0.173,8.400 ± 5.367
KNN,0.728 ± 0.135,0.753 ± 0.179,0.623 ± 0.095,0.633 ± 0.069,0.699 ± 0.127,0.589 ± 0.232,0.610 ± 0.157,0.678 ± 0.156,8.400 ± 5.367
