Fold,n_train,n_test,n_features,FS_N_FEATURES_SELECTED,FS_N_FEATURES_CONFIG,FS_N_FEATURES_MODE,FS_METHOD,test_patients,Model,AUC,Acc,BalAcc,PRAUC,Precision,Recall,F1,Specificity,BestInnerAUC,Kappa
2,89,24,12,12,auto,auto,elasticnet_then_mrmr,"['P14', 'P16', 'P23', 'P26', 'P28', 'P33', 'P36', 'P37', 'P46', 'P48', 'P6']",ExtraTrees,0.5642857142857143,0.5,0.5,0.4920629370629371,0.4166666666666667,0.5,0.45454545454545453,0.5,0.8061818181818181,0.0
2,89,24,12,12,auto,auto,elasticnet_then_mrmr,"['P14', 'P16', 'P23', 'P26', 'P28', 'P33', 'P36', 'P37', 'P46', 'P48', 'P6']",KNN,0.6035714285714285,0.5,0.4857142857142857,0.565,0.4,0.4,0.4,0.5714285714285714,0.8031041666666667,-0.028571428571428692
2,89,24,12,12,auto,auto,elasticnet_then_mrmr,"['P14', 'P16', 'P23', 'P26', 'P28', 'P33', 'P36', 'P37', 'P46', 'P48', 'P6']",NaiveBayes,0.7642857142857143,0.5833333333333334,0.6285714285714286,0.6980494015788133,0.5,0.9,0.6428571428571429,0.35714285714285715,0.7102222222222222,0.23076923076923073
2,89,24,12,12,auto,auto,elasticnet_then_mrmr,"['P14', 'P16', 'P23', 'P26', 'P28', 'P33', 'P36', 'P37', 'P46', 'P48', 'P6']",XGBoost,0.6214285714285714,0.5416666666666666,0.55,0.5212162347456465,0.46153846153846156,0.6,0.5217391304347826,0.5,0.7607272727272727,0.09589041095890405
2,89,24,12,12,auto,auto,elasticnet_then_mrmr,"['P14', 'P16', 'P23', 'P26', 'P28', 'P33', 'P36', 'P37', 'P46', 'P48', 'P6']",LightGBM,0.5214285714285714,0.4583333333333333,0.45,0.4920118310482087,0.36363636363636365,0.4,0.38095238095238093,0.5,0.7588333333333332,-0.09859154929577452
3,96,17,4,4,auto,auto,elasticnet_then_mrmr,"['P15', 'P18', 'P20', 'P24', 'P32', 'P45', 'P47', 'P49', 'P7']",LogisticRegression,0.875,0.8235294117647058,0.8194444444444444,0.9251543209876543,0.8,0.8888888888888888,0.8421052631578947,0.75,0.7757619047619048,0.6433566433566433
3,96,17,4,4,auto,auto,elasticnet_then_mrmr,"['P15', 'P18', 'P20', 'P24', 'P32', 'P45', 'P47', 'P49', 'P7']",SVM_RBF,0.8472222222222222,0.8235294117647058,0.8263888888888888,0.9116013071895426,0.875,0.7777777777777778,0.8235294117647058,0.875,0.7817142857142857,0.6482758620689655
3,96,17,4,4,auto,auto,elasticnet_then_mrmr,"['P15', 'P18', 'P20', 'P24', 'P32', 'P45', 'P47', 'P49', 'P7']",SVM_Linear,0.8611111111111112,0.7647058823529411,0.7638888888888888,0.9152777777777779,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.75,0.7817142857142857,0.5277777777777778
3,96,17,4,4,auto,auto,elasticnet_then_mrmr,"['P15', 'P18', 'P20', 'P24', 'P32', 'P45', 'P47', 'P49', 'P7']",RandomForest,0.8611111111111112,0.8235294117647058,0.8194444444444444,0.9152777777777779,0.8,0.8888888888888888,0.8421052631578947,0.75,0.7609122807017543,0.6433566433566433
3,96,17,4,4,auto,auto,elasticnet_then_mrmr,"['P15', 'P18', 'P20', 'P24', 'P32', 'P45', 'P47', 'P49', 'P7']",GradientBoosting,0.8611111111111112,0.7647058823529411,0.7569444444444444,0.9210858585858586,0.7272727272727273,0.8888888888888888,0.8,0.625,0.7749473684210526,0.5211267605633803
3,96,17,4,4,auto,auto,elasticnet_then_mrmr,"['P15', 'P18', 'P20', 'P24', 'P32', 'P45', 'P47', 'P49', 'P7']",ExtraTrees,0.861111111111111,0.8235294117647058,0.8263888888888888,0.921477850399419,0.875,0.7777777777777778,0.8235294117647058,0.875,0.8135438596491228,0.6482758620689655
3,96,17,4,4,auto,auto,elasticnet_then_mrmr,"['P15', 'P18', 'P20', 'P24', 'P32', 'P45', 'P47', 'P49', 'P7']",KNN,0.875,0.7647058823529411,0.7638888888888888,0.9044753086419753,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.75,0.8012631578947369,0.5277777777777778
3,96,17,4,4,auto,auto,elasticnet_then_mrmr,"['P15', 'P18', 'P20', 'P24', 'P32', 'P45', 'P47', 'P49', 'P7']",NaiveBayes,0.8333333333333334,0.8235294117647058,0.8194444444444444,0.8671075837742506,0.8,0.8888888888888888,0.8421052631578947,0.75,0.746,0.6433566433566433
3,96,17,4,4,auto,auto,elasticnet_then_mrmr,"['P15', 'P18', 'P20', 'P24', 'P32', 'P45', 'P47', 'P49', 'P7']",XGBoost,0.7916666666666667,0.7058823529411765,0.7013888888888888,0.8856481481481482,0.7,0.7777777777777778,0.7368421052631579,0.625,0.7609122807017543,0.4055944055944056
3,96,17,4,4,auto,auto,elasticnet_then_mrmr,"['P15', 'P18', 'P20', 'P24', 'P32', 'P45', 'P47', 'P49', 'P7']",LightGBM,0.8611111111111112,0.7058823529411765,0.7013888888888888,0.9185185185185185,0.7,0.7777777777777778,0.7368421052631579,0.625,0.6626666666666667,0.4055944055944056
4,85,28,4,4,auto,auto,elasticnet_then_mrmr,"['P10', 'P11', 'P12', 'P17', 'P19', 'P27', 'P40', 'P41', 'P50']",LogisticRegression,0.7777777777777777,0.5714285714285714,0.6222222222222222,0.8686059540161708,0.8,0.4444444444444444,0.5714285714285714,0.8,0.7737777777777778,0.2075471698113207
4,85,28,4,4,auto,auto,elasticnet_then_mrmr,"['P10', 'P11', 'P12', 'P17', 'P19', 'P27', 'P40', 'P41', 'P50']",SVM_RBF,0.7777777777777777,0.5714285714285714,0.6222222222222222,0.8686059540161708,0.8,0.4444444444444444,0.5714285714285714,0.8,0.8452063492063492,0.2075471698113207
4,85,28,4,4,auto,auto,elasticnet_then_mrmr,"['P10', 'P11', 'P12', 'P17', 'P19', 'P27', 'P40', 'P41', 'P50']",SVM_Linear,0.7888888888888889,0.6071428571428571,0.6722222222222223,0.8789081518183687,0.8888888888888888,0.4444444444444444,0.5925925925925926,0.9,0.7975873015873016,0.287037037037037
4,85,28,4,4,auto,auto,elasticnet_then_mrmr,"['P10', 'P11', 'P12', 'P17', 'P19', 'P27', 'P40', 'P41', 'P50']",RandomForest,0.7333333333333333,0.6071428571428571,0.6722222222222223,0.8246447019027447,0.8888888888888888,0.4444444444444444,0.5925925925925926,0.9,0.8154444444444444,0.287037037037037
4,85,28,4,4,auto,auto,elasticnet_then_mrmr,"['P10', 'P11', 'P12', 'P17', 'P19', 'P27', 'P40', 'P41', 'P50']",GradientBoosting,0.7444444444444445,0.5714285714285714,0.6222222222222222,0.8389034034802869,0.8,0.4444444444444444,0.5714285714285714,0.8,0.8339629629629629,0.2075471698113207
4,85,28,4,4,auto,auto,elasticnet_then_mrmr,"['P10', 'P11', 'P12', 'P17', 'P19', 'P27', 'P40', 'P41', 'P50']",ExtraTrees,0.7277777777777779,0.5714285714285714,0.6222222222222222,0.8216896221062888,0.8,0.4444444444444444,0.5714285714285714,0.8,0.8452063492063492,0.2075471698113207
4,85,28,4,4,auto,auto,elasticnet_then_mrmr,"['P10', 'P11', 'P12', 'P17', 'P19', 'P27', 'P40', 'P41', 'P50']",KNN,0.7472222222222222,0.5357142857142857,0.6166666666666667,0.8101086571301832,0.8571428571428571,0.3333333333333333,0.48,0.9,0.8015555555555556,0.1875
