,SVM_RBF,LogisticRegression,SVM_Linear,KNN,NaiveBayes,RandomForest,ExtraTrees,LightGBM,GradientBoosting,XGBoost
SVM_RBF,1.0,0.28584097266718955,0.8499179203686451,0.009495377127628782,0.005685109543304655,0.022416579886974992,0.0005388122400268963,0.015706132915835253,0.0024675363596191615,0.0001603721956273291
LogisticRegression,0.28584097266718955,1.0,0.22880958212082403,0.004195885748870409,0.0043469720250844494,0.009285855851127631,9.183604267155756e-05,0.005242863896638642,0.0007759851903274808,9.174025501973635e-05
SVM_Linear,0.8499179203686451,0.22880958212082403,1.0,0.01929752058942967,0.008584231669712209,0.041630651991582994,0.0011211260040020674,0.021498188545655522,0.007643726719886767,0.000997561465713049
KNN,0.009495377127628782,0.004195885748870409,0.01929752058942967,1.0,0.3948276148257569,0.77940317558372,0.35644355420036,0.5549967459008671,0.6410452202071482,0.14441493062624372
NaiveBayes,0.005685109543304655,0.0043469720250844494,0.008584231669712209,0.3948276148257569,1.0,0.3405840594668891,0.8059091498489152,0.7312906295492104,0.6354045596963775,0.8139383692529416
RandomForest,0.022416579886974992,0.009285855851127631,0.041630651991582994,0.77940317558372,0.3405840594668891,1.0,0.2155872043797421,0.32895130509718007,0.2972073296706015,0.03253163945457092
ExtraTrees,0.0005388122400268963,9.183604267155756e-05,0.0011211260040020674,0.35644355420036,0.8059091498489152,0.2155872043797421,1.0,0.8665120801882571,0.702086827381032,0.5002004438305212
LightGBM,0.015706132915835253,0.005242863896638642,0.021498188545655522,0.5549967459008671,0.7312906295492104,0.32895130509718007,0.8665120801882571,1.0,0.866287951299656,0.3496050689464062
GradientBoosting,0.0024675363596191615,0.0007759851903274808,0.007643726719886767,0.6410452202071482,0.6354045596963775,0.2972073296706015,0.702086827381032,0.866287951299656,1.0,0.17853346476447107
XGBoost,0.0001603721956273291,9.174025501973635e-05,0.000997561465713049,0.14441493062624372,0.8139383692529416,0.03253163945457092,0.5002004438305212,0.3496050689464062,0.17853346476447107,1.0
