,SVM_RBF,SVM_Linear,LogisticRegression,GradientBoosting,RandomForest,LightGBM,NaiveBayes,ExtraTrees,XGBoost,KNN
SVM_RBF,0.0,0.01597256328981555,-0.36918528928471955,0.997012428247893,1.7910382332247354,1.7591442364505583,4.225020946121542,3.2135964907586194,1.9942402071390357,2.537676008925468
SVM_Linear,-0.01597256328981555,0.0,-0.4465473582000997,0.9297148355303295,1.5808175418438544,1.6426430077898624,4.223550938025932,2.961911069342522,1.8038037353867702,2.416978311189337
LogisticRegression,0.36918528928471955,0.4465473582000997,0.0,1.154291558357414,1.791421133890196,1.7679218652806097,4.105680800196209,3.1227830989179175,1.999011524325843,2.5379977210883227
GradientBoosting,-0.997012428247893,-0.9297148355303295,-1.154291558357414,0.0,0.438723464767431,0.8500673741728653,2.5336735200452183,1.5781251090280664,1.2333173433156701,1.213061332229103
RandomForest,-1.7910382332247354,-1.5808175418438544,-1.791421133890196,-0.438723464767431,0.0,0.6752050037808819,2.577021358800515,1.955898968453658,0.8995535956051685,1.2411918605490035
LightGBM,-1.7591442364505583,-1.6426430077898624,-1.7679218652806097,-0.8500673741728653,-0.6752050037808819,0.0,1.9532453401209897,0.6418377995203196,0.13495633597508852,0.3748479346097765
NaiveBayes,-4.225020946121542,-4.223550938025932,-4.105680800196209,-2.5336735200452183,-2.577021358800515,-1.9532453401209897,0.0,-1.663598513109958,-1.8700596047127576,-1.9023827737399222
ExtraTrees,-3.2135964907586194,-2.961911069342522,-3.1227830989179175,-1.5781251090280664,-1.955898968453658,-0.6418377995203196,1.663598513109958,0.0,-0.6054714741052353,-0.2805217774365756
XGBoost,-1.9942402071390357,-1.8038037353867702,-1.999011524325843,-1.2333173433156701,-0.8995535956051685,-0.13495633597508852,1.8700596047127576,0.6054714741052353,0.0,0.2663181727784568
KNN,-2.537676008925468,-2.416978311189337,-2.5379977210883227,-1.213061332229103,-1.2411918605490035,-0.3748479346097765,1.9023827737399222,0.2805217774365756,-0.2663181727784568,0.0
