,ExtraTrees,SVM_RBF,LightGBM,GradientBoosting,SVM_Linear,RandomForest,LogisticRegression,KNN,NaiveBayes,XGBoost
ExtraTrees,1.0,0.6757214570681602,0.20557648235279447,0.47280198526269224,0.47192145833037125,0.2587293767998834,0.6235266435851521,0.012275662343907824,0.03554820393994215,0.0485891924466378
SVM_RBF,0.6757214570681602,1.0,0.1686756426411825,0.39131826799182545,0.12676598993160187,0.22585639441555772,0.2454994030647335,0.016943401581066383,0.015358881003882132,0.04419024241831966
LightGBM,0.20557648235279447,0.1686756426411825,1.0,0.3332376259881378,0.37417086990476756,0.4524399006254518,0.3526508348665951,0.8569049890339637,0.6658991948437769,0.5353140616351334
GradientBoosting,0.47280198526269224,0.39131826799182545,0.3332376259881378,1.0,0.8098968793816301,0.7092078176204566,0.7412486538462317,0.5069103303781384,0.21062811718498164,0.05935958394178493
SVM_Linear,0.47192145833037125,0.12676598993160187,0.37417086990476756,0.8098968793816301,1.0,0.6117005683797541,0.729331299821606,0.20487625470772286,0.05274218055030674,0.14357218996348034
RandomForest,0.2587293767998834,0.22585639441555772,0.4524399006254518,0.7092078176204566,0.6117005683797541,1.0,0.5714335816224128,0.6160153045638983,0.3148125090635716,0.1569102757329954
LogisticRegression,0.6235266435851521,0.2454994030647335,0.3526508348665951,0.7412486538462317,0.729331299821606,0.5714335816224128,1.0,0.19050425570616503,0.04179692417042881,0.14724294550483513
KNN,0.012275662343907824,0.016943401581066383,0.8569049890339637,0.5069103303781384,0.20487625470772286,0.6160153045638983,0.19050425570616503,1.0,0.4877664930255663,0.538935043733091
NaiveBayes,0.03554820393994215,0.015358881003882132,0.6658991948437769,0.21062811718498164,0.05274218055030674,0.3148125090635716,0.04179692417042881,0.4877664930255663,1.0,0.8785955748241177
XGBoost,0.0485891924466378,0.04419024241831966,0.5353140616351334,0.05935958394178493,0.14357218996348034,0.1569102757329954,0.14724294550483513,0.538935043733091,0.8785955748241177,1.0
