,ExtraTrees,SVM_RBF,LightGBM,GradientBoosting,SVM_Linear,RandomForest,LogisticRegression,KNN,NaiveBayes,XGBoost
ExtraTrees,0.0,-0.41830866236733344,1.2658229339744933,0.7179275087342393,0.719356229819205,1.1293994214569805,0.49085834058613786,2.504119331377854,2.1020579026208654,1.9721788565641334
SVM_RBF,0.41830866236733344,0.0,1.3764717014761358,0.8572291273365032,1.526979979008604,1.2111017927409002,1.1613504688796812,2.387933624164143,2.4238042685517596,2.0122817756160507
LightGBM,-1.2658229339744933,-1.3764717014761358,0.0,-0.9676131127362837,-0.8886878365571201,-0.7513535647579643,-0.929459827840712,-0.18031537113096768,0.43178291939049207,0.6199145262028964
GradientBoosting,-0.7179275087342393,-0.8572291273365032,0.9676131127362837,0.0,-0.2405590657152643,0.3729202264753801,-0.33020025542895665,0.6636562754920868,1.2518401489107904,1.8855206145816203
SVM_Linear,-0.719356229819205,-1.526979979008604,0.8886878365571201,0.2405590657152643,0.0,0.5076475060827388,-0.3460151890214175,1.2677807604690088,1.9370258746501874,1.4626170690755997
RandomForest,-1.1293994214569805,-1.2111017927409002,0.7513535647579643,-0.3729202264753801,-0.5076475060827388,0.0,-0.5659414519682336,0.5015056470617864,1.0051751701134404,1.4155398407490334
LogisticRegression,-0.49085834058613786,-1.1613504688796812,0.929459827840712,0.33020025542895665,0.3460151890214175,0.5659414519682336,0.0,1.3090888500400375,2.0355364564204357,1.4493389615671777
KNN,-2.504119331377854,-2.387933624164143,0.18031537113096768,-0.6636562754920868,-1.2677807604690088,-0.5015056470617864,-1.3090888500400375,0.0,0.6938656086565511,0.6144242068128322
NaiveBayes,-2.1020579026208654,-2.4238042685517596,-0.43178291939049207,-1.2518401489107904,-1.9370258746501874,-1.0051751701134404,-2.0355364564204357,-0.6938656086565511,0.0,-0.152749815217816
XGBoost,-1.9721788565641334,-2.0122817756160507,-0.6199145262028964,-1.8855206145816203,-1.4626170690755997,-1.4155398407490334,-1.4493389615671777,-0.6144242068128322,0.152749815217816,0.0
