Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
ExtraTrees,0.705 ± 0.155,0.793 ± 0.147,0.699 ± 0.143,0.694 ± 0.138,0.754 ± 0.149,0.643 ± 0.232,0.684 ± 0.192,0.745 ± 0.149,12.000 ± 6.481
SVM_RBF,0.697 ± 0.175,0.791 ± 0.154,0.633 ± 0.130,0.603 ± 0.130,0.627 ± 0.154,0.735 ± 0.223,0.674 ± 0.178,0.472 ± 0.111,12.000 ± 6.481
LightGBM,0.691 ± 0.120,0.764 ± 0.151,0.655 ± 0.075,0.646 ± 0.054,0.685 ± 0.093,0.717 ± 0.199,0.682 ± 0.116,0.574 ± 0.175,12.000 ± 6.481
GradientBoosting,0.685 ± 0.099,0.732 ± 0.116,0.647 ± 0.062,0.630 ± 0.061,0.660 ± 0.146,0.758 ± 0.141,0.695 ± 0.103,0.502 ± 0.183,12.000 ± 6.481
SVM_Linear,0.668 ± 0.141,0.747 ± 0.129,0.625 ± 0.121,0.601 ± 0.125,0.630 ± 0.128,0.729 ± 0.191,0.672 ± 0.146,0.472 ± 0.111,12.000 ± 6.481
RandomForest,0.667 ± 0.128,0.742 ± 0.114,0.631 ± 0.170,0.628 ± 0.148,0.660 ± 0.182,0.677 ± 0.222,0.656 ± 0.192,0.578 ± 0.158,12.000 ± 6.481
LogisticRegression,0.664 ± 0.125,0.751 ± 0.109,0.634 ± 0.111,0.611 ± 0.124,0.656 ± 0.114,0.662 ± 0.188,0.655 ± 0.146,0.560 ± 0.172,12.000 ± 6.481
KNN,0.648 ± 0.154,0.752 ± 0.107,0.586 ± 0.149,0.568 ± 0.142,0.603 ± 0.167,0.713 ± 0.174,0.648 ± 0.160,0.423 ± 0.136,12.000 ± 6.481
NaiveBayes,0.643 ± 0.148,0.725 ± 0.107,0.590 ± 0.121,0.559 ± 0.140,0.598 ± 0.106,0.876 ± 0.123,0.702 ± 0.083,0.241 ± 0.204,12.000 ± 6.481
XGBoost,0.629 ± 0.123,0.722 ± 0.111,0.597 ± 0.108,0.598 ± 0.086,0.631 ± 0.120,0.688 ± 0.183,0.643 ± 0.125,0.508 ± 0.096,12.000 ± 6.481
