Feature_Original,Feature_Sanitized,MeanAbsSHAP,Selection_Count
ADC_IH_IntensityHistogramStd_Intensity,ADC_IH_IntensityHistogramStd_Intensity,0.06142081414106307,2
ADC_IB_MedianIntensity,ADC_IB_MedianIntensity,0.05632414371490679,3
ADC_IH_IntensityHistogramMedian_Intensity,ADC_IH_IntensityHistogramMedian_Intensity,0.05597293441081179,5
T2_Morph_Compactness2,T2_Morph_Compactness2,0.043028628024871805,5
T2_Morph_Compactness1,T2_Morph_Compactness1,0.04076333586130922,3
T2_Morph_Sphericity,T2_Morph_Sphericity,0.039736432725644116,3
T2_GLCM_ClusterShade,T2_GLCM_ClusterShade,0.02698519756013062,4
T2_GLSZM_NormalisedZoneSizeNonUniformity,T2_GLSZM_NormalisedZoneSizeNonUniformity,0.022463170232824552,2
ADC_GLCM_ClusterTendency,ADC_GLCM_ClusterTendency,0.02209093457339917,3
T2_IB_StandardDeviation,T2_IB_StandardDeviation,0.014970825979155068,2
T2_IB_IntensityBasedQuartileCoefficientOfDispersion,T2_IB_IntensityBasedQuartileCoefficientOfDispersion,0.013102438990598776,4
T2_IB_TotalLesionGlycolysis,T2_IB_TotalLesionGlycolysis,0.009529646470003985,2
T2_IB_IntensityBasedCoefficientOfVariation,T2_IB_IntensityBasedCoefficientOfVariation,0.0057552567196173035,4
