metric,mean,std,min,max,pooled
AUC,0.6748409591471793,0.09488621584810085,0.4916666666666666,0.7520661157024793,0.620625
PR_AUC,0.6923264185376541,0.11122834486135265,0.5891673141673142,0.8980023488196294,0.6516621671068565
Accuracy,0.6105459757633671,0.10299355341213508,0.46153846153846156,0.7272727272727273,0.6052631578947368
Bal_Accuracy,0.6416366674261411,0.07498624671521797,0.55,0.7333333333333334,0.6003125
F1_Score,0.6481798201798202,0.10567805574109555,0.46153846153846156,0.7692307692307693,0.6456692913385826
Precision,0.6765567765567766,0.1133378557621691,0.5,0.8571428571428571,0.6507936507936508
Recall,0.7027538543328017,0.22225113298859303,0.3157894736842105,0.9090909090909091,0.640625
