,NaiveBayes,LogisticRegression,RandomForest,GradientBoosting,XGBoost,SVM_RBF,SVM_Linear,KNN,ExtraTrees,LightGBM
NaiveBayes,0.0,0.8583049964034437,0.6173609681937813,0.5906134709711696,1.2244260625017347,1.3963187497082798,1.1996837111666776,1.2566345344684733,1.3394580325265175,1.5649025981525146
LogisticRegression,-0.8583049964034437,0.0,-0.1545279873250093,-0.1581439844150876,0.6658877269125903,0.681629972660255,1.0525257143340818,0.724493150493551,0.7826452797226637,1.2171246321116993
RandomForest,-0.6173609681937813,0.1545279873250093,0.0,-0.021333292990672926,0.9292268747806333,0.5961773261380361,0.4675876323710963,0.9391946934289676,1.0649641907830947,1.720210190789363
GradientBoosting,-0.5906134709711696,0.1581439844150876,0.021333292990672926,0.0,0.9096408203122888,0.573434373027787,0.44183627581801804,0.9050128207161021,1.1505934686099895,1.5777057173626714
XGBoost,-1.2244260625017347,-0.6658877269125903,-0.9292268747806333,-0.9096408203122888,0.0,-0.08975149152431967,-0.33768032103534784,0.21096994679496817,0.27649042669897755,0.7656204931863814
SVM_RBF,-1.3963187497082798,-0.681629972660255,-0.5961773261380361,-0.573434373027787,0.08975149152431967,0.0,-0.29866686655880426,0.2699503679810556,0.37564038547294537,0.6100794698840817
SVM_Linear,-1.1996837111666776,-1.0525257143340818,-0.4675876323710963,-0.44183627581801804,0.33768032103534784,0.29866686655880426,0.0,0.4679482089700577,0.5370133843073542,0.9101958851759973
KNN,-1.2566345344684733,-0.724493150493551,-0.9391946934289676,-0.9050128207161021,-0.21096994679496817,-0.2699503679810556,-0.4679482089700577,0.0,0.09259656804038861,0.3116565294756074
ExtraTrees,-1.3394580325265175,-0.7826452797226637,-1.0649641907830947,-1.1505934686099895,-0.27649042669897755,-0.37564038547294537,-0.5370133843073542,-0.09259656804038861,0.0,0.2574781985238759
LightGBM,-1.5649025981525146,-1.2171246321116993,-1.720210190789363,-1.5777057173626714,-0.7656204931863814,-0.6100794698840817,-0.9101958851759973,-0.3116565294756074,-0.2574781985238759,0.0
