Model,FS_METHOD,N_Outer_Folds,Mean_Selected_Features,Std_Selected_Features,Min_Selected_Features,Max_Selected_Features,Selected_Features_Per_Fold
LogisticRegression,mrmr_then_elasticnet_no_corr,5,20.0,0.0,20,20,"[np.int64(20), np.int64(20), np.int64(20), np.int64(20), np.int64(20)]"
SVM_RBF,mrmr_then_elasticnet_no_corr,5,20.0,0.0,20,20,"[np.int64(20), np.int64(20), np.int64(20), np.int64(20), np.int64(20)]"
SVM_Linear,mrmr_then_elasticnet_no_corr,5,20.0,0.0,20,20,"[np.int64(20), np.int64(20), np.int64(20), np.int64(20), np.int64(20)]"
RandomForest,mrmr_then_elasticnet_no_corr,5,20.0,0.0,20,20,"[np.int64(20), np.int64(20), np.int64(20), np.int64(20), np.int64(20)]"
GradientBoosting,mrmr_then_elasticnet_no_corr,5,20.0,0.0,20,20,"[np.int64(20), np.int64(20), np.int64(20), np.int64(20), np.int64(20)]"
ExtraTrees,mrmr_then_elasticnet_no_corr,5,20.0,0.0,20,20,"[np.int64(20), np.int64(20), np.int64(20), np.int64(20), np.int64(20)]"
KNN,mrmr_then_elasticnet_no_corr,5,20.0,0.0,20,20,"[np.int64(20), np.int64(20), np.int64(20), np.int64(20), np.int64(20)]"
NaiveBayes,mrmr_then_elasticnet_no_corr,5,20.0,0.0,20,20,"[np.int64(20), np.int64(20), np.int64(20), np.int64(20), np.int64(20)]"
XGBoost,mrmr_then_elasticnet_no_corr,5,20.0,0.0,20,20,"[np.int64(20), np.int64(20), np.int64(20), np.int64(20), np.int64(20)]"
LightGBM,mrmr_then_elasticnet_no_corr,5,20.0,0.0,20,20,"[np.int64(20), np.int64(20), np.int64(20), np.int64(20), np.int64(20)]"
