Fold,Feature_Rank_in_Fold,Feature_Name
1,1,GLCM_Autocorrelation
1,2,IB_IntensityBasedEnergy
1,3,GLCM_ClusterShade
1,4,Morph_Compacity
1,5,GLCM_JointMaximum
1,6,Morph_SphericalDisproportion
1,7,GLRLM_ShortRunHighGreyLevelEmphasis
1,8,GLSZM_LargeZoneEmphasis
1,9,GLSZM_LowGrayLevelZoneEmphasis
1,10,Morph_Asphericity
1,11,IB_50thIntensityPercentile
1,12,GLSZM_LargeZoneHighGreyLevelEmphasis
1,13,Morph_Compactness2
1,14,IB_MedianIntensity
2,1,IH_IntensityHistogramMode_Intensity
2,2,Morph_Compacity
2,3,IB_TotalLesionGlycolysis
2,4,GLRLM_LowGreyLevelRunEmphasis
2,5,Morph_SphericalDisproportion
2,6,GLCM_SumAverage
2,7,IB_IntensityBasedEnergy
2,8,IB_MinimumIntensity
2,9,Morph_Asphericity
2,10,GLCM_JointAverage
2,11,Morph_IntegratedIntensity_Intensity
2,12,IH_AreaUnderCurveCIVH_Intensity
2,13,Morph_Sphericity
2,14,IH_IntensityHistogramMean_Intensity
3,1,IH_IntensityHistogramMode_Intensity
3,2,IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity
3,3,GLSZM_LowGrayLevelZoneEmphasis
3,4,IB_MedianIntensity
3,5,IB_50thIntensityPercentile
3,6,GLSZM_LargeZoneLowGreyLevelEmphasis
3,7,Morph_Compacity
3,8,IB_TotalLesionGlycolysis
3,9,GLRLM_RunLengthVariance
3,10,GLCM_ClusterShade
3,11,Morph_SphericalDisproportion
3,12,GLSZM_ZoneSizeNonUniformity
3,13,GLRLM_HighGreyLevelRunEmphasis
3,14,IH_AreaUnderCurveCIVH_Intensity
4,1,Morph_Compactness2
4,2,GLSZM_LargeZoneLowGreyLevelEmphasis
4,3,GLSZM_GreyLevelNonUniformity
4,4,IH_IntensityHistogramMode_Intensity
4,5,Morph_Compacity
4,6,Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist
4,7,IB_IntensityBasedEnergy
4,8,GLRLM_LongRunLowGreyLevelEmphasis
4,9,Morph_SphericalDisproportion
4,10,GLCM_ClusterShade
4,11,IH_MinimumHistogramGradient_Intensity
4,12,GLRLM_LongRunHighGreyLevelEmphasis
4,13,Morph_Asphericity
4,14,GLRLM_LowGreyLevelRunEmphasis
5,1,IB_75thIntensityPercentile
5,2,Morph_SurfaceArea_cm2
5,3,GLSZM_LargeZoneLowGreyLevelEmphasis
5,4,Morph_Compacity
5,5,GLRLM_HighGreyLevelRunEmphasis
5,6,GLSZM_LargeZoneHighGreyLevelEmphasis
5,7,GLRLM_LowGreyLevelRunEmphasis
5,8,Morph_SphericalDisproportion
5,9,IB_IntensityBasedEnergy
5,10,IB_50thIntensityPercentile
5,11,Morph_Asphericity
5,12,IB_MedianIntensity
5,13,Morph_Sphericity
5,14,GLSZM_LowGrayLevelZoneEmphasis
