Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_Linear,0.767 ± 0.071,0.819 ± 0.131,0.673 ± 0.083,0.702 ± 0.077,0.743 ± 0.200,0.743 ± 0.181,0.709 ± 0.080,0.661 ± 0.255,9.600 ± 6.066
SVM_RBF,0.745 ± 0.069,0.816 ± 0.110,0.670 ± 0.081,0.695 ± 0.082,0.741 ± 0.215,0.730 ± 0.174,0.702 ± 0.093,0.661 ± 0.255,9.600 ± 6.066
LogisticRegression,0.733 ± 0.101,0.801 ± 0.134,0.655 ± 0.116,0.677 ± 0.128,0.735 ± 0.241,0.639 ± 0.213,0.659 ± 0.160,0.714 ± 0.227,9.600 ± 6.066
ExtraTrees,0.728 ± 0.076,0.787 ± 0.132,0.673 ± 0.090,0.695 ± 0.084,0.746 ± 0.172,0.662 ± 0.156,0.684 ± 0.107,0.728 ± 0.147,9.600 ± 6.066
RandomForest,0.726 ± 0.127,0.781 ± 0.156,0.679 ± 0.083,0.681 ± 0.093,0.716 ± 0.178,0.678 ± 0.201,0.684 ± 0.153,0.684 ± 0.125,9.600 ± 6.066
GradientBoosting,0.704 ± 0.113,0.736 ± 0.182,0.673 ± 0.090,0.677 ± 0.086,0.714 ± 0.177,0.685 ± 0.176,0.685 ± 0.137,0.669 ± 0.134,9.600 ± 6.066
NaiveBayes,0.697 ± 0.077,0.775 ± 0.091,0.546 ± 0.068,0.524 ± 0.114,0.577 ± 0.093,0.797 ± 0.152,0.656 ± 0.044,0.251 ± 0.193,9.600 ± 6.066
KNN,0.690 ± 0.051,0.714 ± 0.144,0.637 ± 0.096,0.651 ± 0.081,0.680 ± 0.192,0.787 ± 0.144,0.701 ± 0.080,0.515 ± 0.270,9.600 ± 6.066
XGBoost,0.684 ± 0.131,0.757 ± 0.163,0.642 ± 0.126,0.651 ± 0.125,0.689 ± 0.213,0.693 ± 0.169,0.674 ± 0.147,0.610 ± 0.202,9.600 ± 6.066
LightGBM,0.678 ± 0.135,0.736 ± 0.155,0.649 ± 0.092,0.655 ± 0.105,0.700 ± 0.177,0.594 ± 0.197,0.635 ± 0.172,0.716 ± 0.091,9.600 ± 6.066
