Comparison,Best_Model,Other_Model,Mean_AUC_Best,Mean_AUC_Other,Mean_AUC_Difference,Wilcoxon_Statistic,Wilcoxon_p_value,Wilcoxon_q_value_FDR
KNN vs ExtraTrees,KNN,ExtraTrees,0.7672478991596638,0.689360410830999,0.07788748832866488,3.0,0.3125,0.4921875
KNN vs GradientBoosting,KNN,GradientBoosting,0.7672478991596638,0.613391690009337,0.1538562091503268,0.0,0.0625,0.4921875
KNN vs LightGBM,KNN,LightGBM,0.7672478991596638,0.6673257080610022,0.0999221910986617,1.0,0.25,0.4921875
KNN vs LogisticRegression,KNN,LogisticRegression,0.7672478991596638,0.6936749144102086,0.07357298474945537,2.0,0.1875,0.4921875
KNN vs NaiveBayes,KNN,NaiveBayes,0.7672478991596638,0.7060076252723311,0.06124027388733273,5.0,0.625,0.625
KNN vs RandomForest,KNN,RandomForest,0.7672478991596638,0.7009430438842202,0.06630485527544354,4.0,0.4375,0.4921875
KNN vs SVM_Linear,KNN,SVM_Linear,0.7672478991596638,0.7093930905695611,0.057854808590102724,4.0,0.4375,0.4921875
KNN vs SVM_RBF,KNN,SVM_RBF,0.7672478991596638,0.7115149393090568,0.05573295985060696,4.0,0.4375,0.4921875
KNN vs XGBoost,KNN,XGBoost,0.7672478991596638,0.6293713040771864,0.13787659508247746,2.0,0.1875,0.4921875
