Model,ROC_AUC,ROC_AUC_bootstrap_mean,ROC_AUC_CI95_low,ROC_AUC_CI95_high,PR_AUC,PR_AUC_bootstrap_mean,PR_AUC_CI95_low,PR_AUC_CI95_high,Accuracy,Balanced_Accuracy,Sensitivity_Recall,Specificity,PPV_Precision,NPV,F1,Cohen_Kappa,Brier_Score,TN,FP,FN,TP,Mean_Selected_Features,Std_Selected_Features
KNN,0.7731249999999998,0.7723464088386518,0.6791181657848325,0.8562377482354948,0.8035607882699738,0.8062797954291584,0.7000480810601571,0.8939888428031563,0.7192982456140351,0.7128125000000001,0.765625,0.66,0.7424242424242424,0.6875,0.7538461538461538,0.4274952919020716,0.20016543893383068,33,17,15,49,11.6,4.560701700396552
SVM_RBF,0.7390625000000001,0.7388473142503895,0.645178345959596,0.8308660300925925,0.7816540913636056,0.7872175642427935,0.6762578094941879,0.8861512966630547,0.7280701754385965,0.7381249999999999,0.65625,0.82,0.8235294117647058,0.6507936507936508,0.7304347826086957,0.4630811303555151,0.21347656657397027,41,9,22,42,11.6,4.560701700396552
RandomForest,0.7306250000000001,0.7308826486607929,0.6348151001540833,0.8258636953971942,0.7528294996608861,0.7608415314089892,0.6277626681609539,0.8709768997720967,0.7192982456140351,0.7171875,0.734375,0.7,0.7580645161290323,0.6730769230769231,0.746031746031746,0.43248288736776597,0.2156041315242005,35,15,17,47,11.6,4.560701700396552
LogisticRegression,0.7206250000000001,0.7206285373339522,0.6228907699443414,0.8121953125,0.7657069248822257,0.7701540509945596,0.6555724688938038,0.8677694057853327,0.7017543859649122,0.708125,0.65625,0.76,0.7777777777777778,0.6333333333333333,0.711864406779661,0.4073394495412843,0.2194258431541889,38,12,22,42,11.6,4.560701700396552
SVM_Linear,0.71875,0.7184794616894933,0.6240338803284826,0.809252701235342,0.7640426297254302,0.7691015769855323,0.6546716678733677,0.8688355285938297,0.6929824561403509,0.6959375,0.671875,0.72,0.7543859649122807,0.631578947368421,0.7107438016528925,0.38596491228070173,0.22234681223956598,36,14,21,43,11.6,4.560701700396552
ExtraTrees,0.715625,0.7148171225372705,0.6204963536661201,0.8086260080645161,0.7545786377384793,0.7680104859896882,0.6451801232134744,0.874365123804346,0.6842105263157895,0.6903125,0.640625,0.74,0.7592592592592593,0.6166666666666667,0.6949152542372882,0.37247706422018345,0.21638428233412235,37,13,23,41,11.6,4.560701700396552
XGBoost,0.6609375,0.6603939052362723,0.5572819208361176,0.7579564609626651,0.7445443267798331,0.7485687562460585,0.6260811359021583,0.8442106255134934,0.6403508771929824,0.63375,0.6875,0.58,0.676923076923077,0.5918367346938775,0.6821705426356589,0.26808643908549956,0.2656575052639757,29,21,20,44,11.6,4.560701700396552
GradientBoosting,0.6434375,0.6440883076260809,0.5422072849025974,0.742010195464879,0.7213676524998822,0.7259733095405523,0.6096053548309902,0.8250901240114049,0.6228070175438597,0.6268750000000001,0.59375,0.66,0.6909090909090909,0.559322033898305,0.6386554621848739,0.24885075084278285,0.2430621907447295,33,17,26,38,11.6,4.560701700396552
LightGBM,0.6096874999999998,0.6089384757773751,0.5059905938639411,0.7115668902451984,0.6889821111836195,0.695607686265043,0.5682575344439704,0.8030570157968302,0.5877192982456141,0.5803125,0.640625,0.52,0.6307692307692307,0.5306122448979592,0.6356589147286822,0.1609771374882556,0.2979531625175866,26,24,23,41,11.6,4.560701700396552
NaiveBayes,0.6068749999999999,0.6078681887473367,0.5064934969385855,0.7080324074074072,0.6719524667260129,0.6783995075397022,0.5545758636301722,0.7921386661455595,0.5789473684210527,0.5396875,0.859375,0.22,0.5851063829787234,0.55,0.6962025316455697,0.08494983277591972,0.387672113048615,11,39,9,55,11.6,4.560701700396552
