Feature_1,Feature_2,Abs_Spearman_Correlation,Above_0_95,Above_0_99
IB_IntensityBasedCoefficientOfVariation,IH_IntensityHistogramCoefficientOfVariation_Intensity,0.9972875361536963,True,True
GLRLM_LowGreyLevelRunEmphasis,GLRLM_ShortRunLowGreyLevelEmphasis,0.9972650571715446,True,True
IB_10thIntensityPercentile,IH_IntensityHistogram10thPercentile,0.9972217556898045,True,True
GLSZM_LargeZoneEmphasis,GLSZM_ZoneSizeVariance,0.9971451692667356,True,True
IB_IntensityVariance,GLCM_JointVariance,0.9971077042964828,True,True
IB_StandardDeviation,GLCM_JointVariance,0.9971077042964828,True,True
IH_IntensityHistogramStd_Intensity,GLCM_JointVariance,0.9969578444154715,True,True
IH_IntensityHistogramVariance_Intensity,GLCM_JointVariance,0.9969578444154715,True,True
IB_RootMeanSquareIntensity,GLRLM_ShortRunHighGreyLevelEmphasis,0.9966955896237019,True,True
GLCM_JointAverage,GLCM_Autocorrelation,0.9963733908795276,True,True
GLCM_SumAverage,GLCM_Autocorrelation,0.9963733908795276,True,True
GLRLM_LongRunsEmphasis,GLRLM_RunPercentage,0.9962516227063118,True,True
GLCM_Autocorrelation,GLRLM_HighGreyLevelRunEmphasis,0.9959238112364939,True,True
IH_AreaUnderCurveCIVH_Intensity,GLCM_SumAverage,0.9958488812959883,True,True
IH_AreaUnderCurveCIVH_Intensity,GLCM_JointAverage,0.9958488812959883,True,True
IH_IntensityHistogramMean_Intensity,GLCM_SumAverage,0.9958488812959883,True,True
IH_IntensityHistogramMean_Intensity,GLCM_JointAverage,0.9958488812959883,True,True
IB_MeanIntensity,GLCM_SumAverage,0.9956390774625725,True,True
IB_MeanIntensity,GLCM_JointAverage,0.9956390774625725,True,True
GLRLM_ShortRunsEmphasis,GLRLM_LongRunsEmphasis,0.9955716405161175,True,True
GLCM_JointVariance,GLRLM_GreyLevelVariance,0.9950396379385275,True,True
GLRLM_ShortRunsEmphasis,GLRLM_RunPercentage,0.9947867396253343,True,True
IB_AreaUnderCurveCIVH,GLCM_SumAverage,0.9944401984144825,True,True
IB_AreaUnderCurveCIVH,GLCM_JointAverage,0.9944401984144825,True,True
IB_IntensityInterquartileRange,IH_IntensityHistogramInterquartileRange_Intensity,0.9939624145462588,True,True
Morph_SurfaceArea_cm2,Morph_SphereDiameter_mm,0.9935352863836403,True,True
Morph_ApproximateVolume_cm3,Morph_SurfaceArea_cm2,0.9935352863836403,True,True
Morph_voxelsCounting_vx,Morph_SurfaceArea_cm2,0.9935352863836403,True,True
Morph_Volume_cm3,Morph_SurfaceArea_cm2,0.9931307848381421,True,True
IB_IntensityInterquartileRange,IB_IntensityBasedRobustMeanAbsoluteDeviation,0.9931101403727097,True,True
IH_IntensityHistogramEntropyLog2_Intensity,GLCM_JointEntropyLog2,0.9929940505627238,True,True
IH_IntensityHistogramEntropyLog10_Intensity,GLCM_JointEntropyLog10,0.9929940505627238,True,True
IH_IntensityHistogramEntropyLog2_Intensity,GLCM_JointEntropyLog10,0.9929940505627238,True,True
IH_IntensityHistogramEntropyLog10_Intensity,GLCM_JointEntropyLog2,0.9929940505627238,True,True
GLCM_Autocorrelation,GLRLM_ShortRunHighGreyLevelEmphasis,0.9927992327174092,True,True
GLCM_JointVariance,GLCM_SumVariance,0.9925144989434879,True,True
GLCM_JointVariance,GLCM_ClusterTendency,0.9925144989434879,True,True
IB_RootMeanSquareIntensity,GLCM_SumAverage,0.9921698212171619,True,True
IB_RootMeanSquareIntensity,GLCM_JointAverage,0.9921698212171619,True,True
IB_IntensityBasedMeanAbsoluteDeviation,GLCM_JointVariance,0.9920724122945046,True,True
IH_IntensityHistogramMeanAbsoluteDeviation_Intensity,GLCM_JointVariance,0.991997482353999,True,True
IH_Uniformity_Intensity,GLCM_AngularSecondMoment,0.9918925804372911,True,True
IB_IntensityInterquartileRange,IH_IntensityHistogramRobustMeanAbsoluteDeviation_Intensity,0.9918026031134809,True,True
IB_StandardDeviation,IB_IntensityBasedMeanAbsoluteDeviation,0.9906787154011,True,True
IB_IntensityVariance,IB_IntensityBasedMeanAbsoluteDeviation,0.9906787154011,True,True
IH_AreaUnderCurveCIVH_Intensity,GLCM_Autocorrelation,0.990626264442746,True,True
IH_IntensityHistogramMean_Intensity,GLCM_Autocorrelation,0.990626264442746,True,True
IB_IntensityBasedMeanAbsoluteDeviation,IH_IntensityHistogramStd_Intensity,0.9905138695319876,True,True
IB_IntensityBasedMeanAbsoluteDeviation,IH_IntensityHistogramVariance_Intensity,0.9905138695319876,True,True
IB_IntensityVariance,IH_IntensityHistogramMeanAbsoluteDeviation_Intensity,0.9904913905498359,True,True
IB_StandardDeviation,IH_IntensityHistogramMeanAbsoluteDeviation_Intensity,0.9904913905498359,True,True
IH_IntensityHistogramVariance_Intensity,IH_IntensityHistogramMeanAbsoluteDeviation_Intensity,0.9904089676152797,True,True
IH_IntensityHistogramStd_Intensity,IH_IntensityHistogramMeanAbsoluteDeviation_Intensity,0.9904089676152797,True,True
IB_MeanIntensity,GLCM_Autocorrelation,0.9904089676152797,True,True
GLRLM_RunPercentage,GLRLM_RunLengthVariance,0.9900998630670145,True,True
GLCM_SumAverage,GLRLM_HighGreyLevelRunEmphasis,0.9900043459365493,True,True
GLCM_JointAverage,GLRLM_HighGreyLevelRunEmphasis,0.9900043459365493,True,True
GLCM_SumVariance,GLRLM_GreyLevelVariance,0.9897196121626279,True,False
GLCM_ClusterTendency,GLRLM_GreyLevelVariance,0.9897196121626279,True,False
IH_IntensityHistogramRobustMeanAbsoluteDeviation_Intensity,IH_IntensityHistogramMedianAbsoluteDeviation_Intensity,0.9897196121626279,True,False
IB_StandardDeviation,GLCM_ClusterTendency,0.9896222032399706,True,False
IB_IntensityVariance,GLCM_ClusterTendency,0.9896222032399706,True,False
IB_IntensityVariance,GLCM_SumVariance,0.9896222032399706,True,False
IB_StandardDeviation,GLCM_SumVariance,0.9896222032399706,True,False
