Feature,Variance,Is_Constant_1e_12,Is_Near_Zero_1e_8,Is_Near_Zero_1e_6
IB_75thIntensityPercentile,11373.520000964592,False,False,False
IB_90thIntensityPercentile,13868.38675790639,False,False,False
GLCM_SumVariance,14289.247557332621,False,False,False
GLCM_ClusterTendency,14289.247557332621,False,False,False
IB_MaximumIntensity,19261.39586351256,False,False,False
IB_IntensityRange,22785.20447161688,False,False,False
GLSZM_ZoneSizeNonUniformity,39236.8988323966,False,False,False
GLSZM_HighGrayLevelZoneEmphasis,40122.10479698288,False,False,False
GLRLM_ShortRunHighGreyLevelEmphasis,42761.15292268082,False,False,False
GLRLM_HighGreyLevelRunEmphasis,47493.63297225475,False,False,False
GLCM_Autocorrelation,51863.797339451776,False,False,False
GLRLM_LongRunHighGreyLevelEmphasis,79624.56100447392,False,False,False
IB_AreaUnderCurveCIVH,1187452.4238146266,False,False,False
IH_MinimumHistogramGradient_Intensity,1686466.2462195926,False,False,False
GLRLM_GreyLevelNonUniformity,1695400.5937098805,False,False,False
IH_MaximumHistogramGradient_Intensity,1951902.553583169,False,False,False
NGTDM_Complexity,2260276.214877571,False,False,False
GLSZM_LargeZoneLowGreyLevelEmphasis,2388542.6209673397,False,False,False
GLCM_ClusterShade,3045813.7799360733,False,False,False
IB_TotalLesionGlycolysis,5682438.866298834,False,False,False
GLRLM_RunLengthNonUniformity,20229328.384037677,False,False,False
IB_IntensityVariance,62809155.86928344,False,False,False
Morph_voxelsCounting_vx,226328210.55489802,False,False,False
GLSZM_ZoneSizeVariance,4056980341.1466055,False,False,False
GLSZM_LargeZoneEmphasis,4068905718.370124,False,False,False
GLCM_ClusterProminence,16815495679.031273,False,False,False
Morph_IntegratedIntensity_Intensity,5672822254626.669,False,False,False
GLSZM_LargeZoneHighGreyLevelEmphasis,85458561857224.14,False,False,False
IB_IntensityBasedEnergy,1.5882296082987763e+17,False,False,False
