Feature,NaN_Count,Inf_Count,Bad_Value_Count,Bad_Value_Rate
Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,0,0,0,0.0
Morph_Maximum3DDiameter_mm,0,0,0,0.0
Morph_SphereDiameter_mm,0,0,0,0.0
Morph_IntegratedIntensity_Intensity,0,0,0,0.0
IB_MeanIntensity,0,0,0,0.0
IB_IntensityVariance,0,0,0,0.0
IB_IntensitySkewness,0,0,0,0.0
IB_IntensityKurtosis,0,0,0,0.0
IB_MedianIntensity,0,0,0,0.0
IB_MinimumIntensity,0,0,0,0.0
IB_10thIntensityPercentile,0,0,0,0.0
IB_25thIntensityPercentile,0,0,0,0.0
IB_50thIntensityPercentile,0,0,0,0.0
IB_75thIntensityPercentile,0,0,0,0.0
IB_90thIntensityPercentile,0,0,0,0.0
IB_StandardDeviation,0,0,0,0.0
IB_MaximumIntensity,0,0,0,0.0
IB_IntensityInterquartileRange,0,0,0,0.0
IB_IntensityRange,0,0,0,0.0
IB_IntensityBasedMeanAbsoluteDeviation,0,0,0,0.0
IB_IntensityBasedRobustMeanAbsoluteDeviation,0,0,0,0.0
IB_IntensityBasedMedianAbsoluteDeviation,0,0,0,0.0
IB_IntensityBasedCoefficientOfVariation,0,0,0,0.0
IB_IntensityBasedQuartileCoefficientOfDispersion,0,0,0,0.0
IB_AreaUnderCurveCIVH,0,0,0,0.0
IB_IntensityBasedEnergy,0,0,0,0.0
IB_RootMeanSquareIntensity,0,0,0,0.0
IB_TotalLesionGlycolysis,0,0,0,0.0
IH_IntensityHistogramMean_Intensity,0,0,0,0.0
IH_IntensityHistogramVariance_Intensity,0,0,0,0.0
IH_IntensityHistogramSkewness_Intensity,0,0,0,0.0
IH_IntensityHistogramKurtosis_Intensity,0,0,0,0.0
IH_IntensityHistogramMedian_Intensity,0,0,0,0.0
IH_IntensityHistogramMinimumGreyLevel_Intensity,0,0,0,0.0
IH_IntensityHistogram10thPercentile,0,0,0,0.0
IH_IntensityHistogram25thPercentile,0,0,0,0.0
IH_IntensityHistogram50thPercentile,0,0,0,0.0
IH_IntensityHistogram75thPercentile,0,0,0,0.0
IH_IntensityHistogram90thPercentile,0,0,0,0.0
IH_IntensityHistogramStd_Intensity,0,0,0,0.0
IH_IntensityHistogramMaximumGreyLevel_Intensity,0,0,0,0.0
IH_IntensityHistogramMode_Intensity,0,0,0,0.0
IH_IntensityHistogramInterquartileRange_Intensity,0,0,0,0.0
IH_IntensityHistogramRange_Intensity,0,0,0,0.0
IH_IntensityHistogramMeanAbsoluteDeviation_Intensity,0,0,0,0.0
IH_IntensityHistogramRobustMeanAbsoluteDeviation_Intensity,0,0,0,0.0
IH_IntensityHistogramMedianAbsoluteDeviation_Intensity,0,0,0,0.0
IH_IntensityHistogramCoefficientOfVariation_Intensity,0,0,0,0.0
IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity,0,0,0,0.0
IH_IntensityHistogramEntropyLog10_Intensity,0,0,0,0.0
IH_IntensityHistogramEntropyLog2_Intensity,0,0,0,0.0
IH_AreaUnderCurveCIVH_Intensity,0,0,0,0.0
IH_Uniformity_Intensity,0,0,0,0.0
IH_RootMeanSquare_Intensity,0,0,0,0.0
IH_MaximumHistogramGradient_Intensity,0,0,0,0.0
IH_MaximumHistogramGradientGreyLevel_Intensity,0,0,0,0.0
IH_MinimumHistogramGradient_Intensity,0,0,0,0.0
IH_MinimumHistogramGradientGreyLevel_Intensity,0,0,0,0.0
GLCM_JointMaximum,0,0,0,0.0
GLCM_JointAverage,0,0,0,0.0
GLCM_JointVariance,0,0,0,0.0
GLCM_JointEntropyLog2,0,0,0,0.0
GLCM_JointEntropyLog10,0,0,0,0.0
GLCM_DifferenceAverage,0,0,0,0.0
GLCM_DifferenceVariance,0,0,0,0.0
GLCM_DifferenceEntropy,0,0,0,0.0
GLCM_SumAverage,0,0,0,0.0
GLCM_SumVariance,0,0,0,0.0
GLCM_SumEntropy,0,0,0,0.0
GLCM_AngularSecondMoment,0,0,0,0.0
GLCM_Contrast,0,0,0,0.0
GLCM_Dissimilarity,0,0,0,0.0
GLCM_InverseDifference,0,0,0,0.0
GLCM_NormalisedInverseDifference,0,0,0,0.0
GLCM_InverseDifferenceMoment,0,0,0,0.0
GLCM_NormalisedInverseDifferenceMoment,0,0,0,0.0
GLCM_InverseVariance,0,0,0,0.0
GLCM_Correlation,0,0,0,0.0
GLCM_Autocorrelation,0,0,0,0.0
GLCM_ClusterTendency,0,0,0,0.0
GLCM_ClusterShade,0,0,0,0.0
GLCM_ClusterProminence,0,0,0,0.0
GLRLM_ShortRunsEmphasis,0,0,0,0.0
GLRLM_LongRunsEmphasis,0,0,0,0.0
GLRLM_LowGreyLevelRunEmphasis,0,0,0,0.0
GLRLM_HighGreyLevelRunEmphasis,0,0,0,0.0
GLRLM_ShortRunLowGreyLevelEmphasis,0,0,0,0.0
GLRLM_ShortRunHighGreyLevelEmphasis,0,0,0,0.0
GLRLM_LongRunLowGreyLevelEmphasis,0,0,0,0.0
GLRLM_LongRunHighGreyLevelEmphasis,0,0,0,0.0
GLRLM_GreyLevelNonUniformity,0,0,0,0.0
GLRLM_RunLengthNonUniformity,0,0,0,0.0
GLRLM_RunPercentage,0,0,0,0.0
GLRLM_GreyLevelVariance,0,0,0,0.0
GLRLM_RunLengthVariance,0,0,0,0.0
GLRLM_RunEntropy,0,0,0,0.0
NGTDM_Coarseness,0,0,0,0.0
NGTDM_Contrast,0,0,0,0.0
NGTDM_Busyness,0,0,0,0.0
NGTDM_Complexity,0,0,0,0.0
NGTDM_Strength,0,0,0,0.0
GLSZM_SmallZoneEmphasis,0,0,0,0.0
GLSZM_LargeZoneEmphasis,0,0,0,0.0
GLSZM_LowGrayLevelZoneEmphasis,0,0,0,0.0
GLSZM_HighGrayLevelZoneEmphasis,0,0,0,0.0
GLSZM_SmallZoneLowGreyLevelEmphasis,0,0,0,0.0
GLSZM_SmallZoneHighGreyLevelEmphasis,0,0,0,0.0
GLSZM_LargeZoneLowGreyLevelEmphasis,0,0,0,0.0
GLSZM_LargeZoneHighGreyLevelEmphasis,0,0,0,0.0
GLSZM_GreyLevelNonUniformity,0,0,0,0.0
GLSZM_NormalisedGreyLevelNonUniformity,0,0,0,0.0
GLSZM_ZoneSizeNonUniformity,0,0,0,0.0
GLSZM_NormalisedZoneSizeNonUniformity,0,0,0,0.0
GLSZM_ZonePercentage,0,0,0,0.0
GLSZM_GreyLevelVariance,0,0,0,0.0
GLSZM_ZoneSizeVariance,0,0,0,0.0
GLSZM_ZoneSizeEntropy,0,0,0,0.0
