Feature,Median,MAD,Robust_Outlier_Count,Robust_Outlier_Rate
GLSZM_LargeZoneLowGreyLevelEmphasis,0.671039716,0.6172973820000001,33,0.28205128205128205
GLSZM_LargeZoneEmphasis,46.11627907,40.286491835999996,27,0.23076923076923078
GLSZM_ZoneSizeVariance,34.15419501,31.941574983000002,27,0.23076923076923078
GLCM_ClusterShade,-106.5829717,336.71721149999996,25,0.21367521367521367
IH_MaximumHistogramGradient_Intensity,12.0,8.0,24,0.20512820512820512
GLCM_ClusterProminence,23780.74715,21595.729061,24,0.20512820512820512
NGTDM_Busyness,0.107371626,0.066424181,24,0.20512820512820512
GLSZM_LargeZoneHighGreyLevelEmphasis,10834.83516,9152.72298,24,0.20512820512820512
IH_MinimumHistogramGradient_Intensity,-15.5,10.5,23,0.19658119658119658
GLRLM_GreyLevelNonUniformity,21.13760467,14.618223858000002,23,0.19658119658119658
GLRLM_LongRunLowGreyLevelEmphasis,0.025366161,0.017895865,21,0.1794871794871795
Morph_Volume_cm3,0.356125,0.23087500000000002,19,0.1623931623931624
Morph_ApproximateVolume_cm3,0.365,0.23099999999999998,19,0.1623931623931624
Morph_voxelsCounting_vx,365.0,231.0,19,0.1623931623931624
Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,0.157501314,0.067231973,19,0.1623931623931624
Morph_IntegratedIntensity_Intensity,73568.98083,53216.08309,19,0.1623931623931624
GLRLM_RunLengthNonUniformity,263.3071323,163.32558990999996,19,0.1623931623931624
GLSZM_GreyLevelNonUniformity,4.711340206,2.0856141089999998,19,0.1623931623931624
IB_TotalLesionGlycolysis,75.868,54.19116348,18,0.15384615384615385
GLCM_AngularSecondMoment,0.008183237,0.004771951,18,0.15384615384615385
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,0.247660859,0.10742585100000002,16,0.13675213675213677
GLRLM_LowGreyLevelRunEmphasis,0.017517633,0.011667207000000002,16,0.13675213675213677
GLCM_JointMaximum,0.031157895,0.016114832,15,0.1282051282051282
Morph_SurfaceArea_cm2,3.289221526,1.643752286,14,0.11965811965811966
IB_IntensityBasedEnergy,23200000.0,18568176.0,14,0.11965811965811966
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,0.204172912,0.074295895,13,0.1111111111111111
Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,0.156781128,0.07055500499999999,13,0.1111111111111111
GLRLM_ShortRunLowGreyLevelEmphasis,0.016580478,0.011176078999999998,13,0.1111111111111111
GLRLM_RunLengthVariance,0.13088605,0.061123338,13,0.1111111111111111
Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,0.138013112,0.052469248999999996,12,0.10256410256410256
GLSZM_ZoneSizeNonUniformity,32.91946309,18.752796420000003,12,0.10256410256410256
IH_Uniformity_Intensity,0.066337149,0.023543295,11,0.09401709401709402
GLRLM_LongRunsEmphasis,1.447337462,0.1744027039999998,11,0.09401709401709402
Morph_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist_mm,1.224744871,0.5176380899999999,10,0.08547008547008547
NGTDM_Complexity,771.2920019,540.5391155,10,0.08547008547008547
GLSZM_SmallZoneLowGreyLevelEmphasis,0.00870724,0.004300956999999999,10,0.08547008547008547
IB_IntensityKurtosis,0.324126127,0.893711628,9,0.07692307692307693
GLSZM_SmallZoneHighGreyLevelEmphasis,118.6801353,43.24360660000001,9,0.07692307692307693
